,tweets,timestamps
0,Another beautiful sale for 0ETH + gas! This time its a #Vampire 4 pack! #NFT #nftart #0xvampire  https://t.co/ypfAmJAQ5v via @opensea,2021-12-19 22:31:05+00:00
1,"🔥 0xVampire is now listed at 

https://t.co/n19K7LXlqt

Share us yours in comments! 
@0xVampireNFT #NFT #NFTs… https://t.co/CGUbEtKa5v",2021-12-15 05:34:04+00:00
2,"RT @Devin_7_Smith: @GenAlchemyLab @0xVampireNFT 

Wait, what's that..🧪🧛‍♀️☣⚠️

#GenerativeAlchemyLab #0xVampire #NFT #Crypto #Art https://t…",2021-12-10 20:51:46+00:00
3,"RT @UpnftCo: TOP 5 VOLUME CHANGES 
The Divine Order Of the Zodiac @TheDivineZodiac - 136.52%
0xVampire @0xVampireNFT - 88.8%
FND NFT @withF…",2021-12-10 15:43:58+00:00
4,"TOP 5 VOLUME CHANGES 
The Divine Order Of the Zodiac @TheDivineZodiac - 136.52%
0xVampire @0xVampireNFT - 88.8%
FND… https://t.co/dq6F6zJo4g",2021-12-10 15:00:03+00:00
5,RT @isatrader23: #cyberjiba #giraffesatthebar #0xvampire #omnimorphs #nft #NFTs #nftcollector #NFTCommunity #NFTartists #Crypto #cryptocurr…,2021-12-07 05:46:09+00:00
6,#cyberjiba #giraffesatthebar #0xvampire #omnimorphs #nft #NFTs #nftcollector #NFTCommunity #NFTartists #Crypto… https://t.co/99BSUHVenh,2021-12-07 03:31:41+00:00
7,"RT @Devin_7_Smith: @GenAlchemyLab @0xVampireNFT 

Wait, what's that..🧪🧛‍♀️☣⚠️

#GenerativeAlchemyLab #0xVampire #NFT #Crypto #Art https://t…",2021-12-06 02:49:24+00:00
8,"RT @Devin_7_Smith: @GenAlchemyLab @0xVampireNFT 

Wait, what's that..🧪🧛‍♀️☣⚠️

#GenerativeAlchemyLab #0xVampire #NFT #Crypto #Art https://t…",2021-12-02 21:48:56+00:00
9,"RT @UpnftCo: TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1260000999999999.0%
KnownOriginDigitalAsset @knownorigin_io - 84.27%
Flowtys @…",2021-12-02 16:07:41+00:00
10,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1260000999999999.0%
KnownOriginDigitalAsset @knownorigin_io - 84.27… https://t.co/3ro3wNrhgE",2021-12-02 16:00:03+00:00
11,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1260000999999999.0%
KnownOriginDigitalAsset @knownorigin_io - 84.27… https://t.co/RohB8erate",2021-12-02 15:00:03+00:00
12,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1260000999999999.0%
KnownOriginDigitalAsset @knownorigin_io - 84.07… https://t.co/dQYSUTplJi",2021-12-02 14:00:03+00:00
13,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1260000999999999.0%
KnownOriginDigitalAsset @knownorigin_io - 84.04… https://t.co/jly2svRA49",2021-12-02 13:00:03+00:00
14,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1009999999999998.9%
KnownOriginDigitalAsset @knownorigin_io - 84.0%… https://t.co/gtxz7MbE6S",2021-12-02 12:00:03+00:00
15,"RT @UpnftCo: TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1009999999999998.9%
KnownOriginDigitalAsset @knownorigin_io - 84.0%
Mutant Pun…",2021-12-02 09:00:39+00:00
16,"TOP 5 VOLUME CHANGES 
0xVampire @0xVampireNFT - 1009999999999998.9%
KnownOriginDigitalAsset @knownorigin_io - 84.0%… https://t.co/xKbPVzQIqi",2021-12-02 09:00:03+00:00
