,tweets,timestamps
0,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 18:50:51+00:00
1,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 18:39:19+00:00
2,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 18:38:38+00:00
3,"Here is a look at the top 10 NFT projects from the past week, as reported by CryptoSlam.
•CloneX: $151.9 million, N… https://t.co/VryUE0XkU5",2021-12-20 18:32:20+00:00
4,"Top 10 Trending #NFT Collections Past Hour:

alien frens | (Ξ 0.05) | (213)
DinoBabies | (Ξ 0.11) | (74)
House Of L… https://t.co/rnSIXUeNuL",2021-12-20 18:30:04+00:00
5,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 18:28:16+00:00
6,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 18:22:37+00:00
7,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 18:18:33+00:00
8,"1H Top #NFT Volume

Art Blocks (Old Contract): Ξ42.7 ($163,499.07)
adidas Originals Into the Metaverse: Ξ38.09 ($14… https://t.co/EGtTP8Y76b",2021-12-20 18:00:06+00:00
9,"1H Top #Nft Sales

alien frens: 236
DinoBabies: 97
House Of Legends: 55
adidas Originals Into the Metaverse: 50
Kum… https://t.co/1Yv52UJ1bC",2021-12-20 18:00:02+00:00
10,Adidas Originals、初のNFTアイテム販売で2300万ドルを荒稼ぎ。BAYCなどとコラボ https://t.co/IxO6dNzK6n 安心レンタルWiFiならクラウドWiFi東京一択！… https://t.co/QuZzzz2vvg,2021-12-20 17:59:05+00:00
11,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 17:56:43+00:00
12,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 17:54:52+00:00
13,"Adidas Originals, the casual clothing and sportswear brand of Adidas AG, launched its first-ever NFT collection on… https://t.co/E2dGPcn4J7",2021-12-20 17:46:49+00:00
14,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 17:30:47+00:00
15,"Top 10 Trending #NFT Collections Past Hour:

alien frens | (Ξ 0.08) | (400)
DinoBabies | (Ξ 0.105) | (65)
Kumo x Wo… https://t.co/C7GXIHjCwj",2021-12-20 17:30:06+00:00
16,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 17:27:47+00:00
17,"Adidas earned more than $23 million in Ethereum and minted nearly 30,000 nonfungible tokens (NFTs) during its first… https://t.co/aEMumMsa2Y",2021-12-20 17:25:11+00:00
18,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 17:24:08+00:00
19,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 17:23:48+00:00
20,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 17:23:04+00:00
21,"RT @WE__Metaverse: Adidas Reveals the Originals NFT Collection With Punks Comics, Gmoney, Bored Apes …
#WEMetaverse #NFTs #adidas 

https:/…",2021-12-20 17:14:16+00:00
22,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollections sales 16h-17h

813  alien frens
62… https://t.co/EA7yxg0b0r",2021-12-20 17:08:00+00:00
23,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 17:07:22+00:00
24,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 17:02:32+00:00
25,Adidas Originals launches NFTs and buys a plot in the Sandbox metaverse https://t.co/S2zGTbOH0k,2021-12-20 17:00:41+00:00
26,"1H Top #NFT Volume

alien frens: Ξ100.35 ($386,197.86)
CLONE X - X TAKASHI MURAKAMI: Ξ80.71 ($310,107.79)
Mutant Ap… https://t.co/r5W9vhmvsQ",2021-12-20 17:00:05+00:00
27,"1H Top #Nft Sales

alien frens: 805
ALPACADABRAZ: 220
Birdez Gang Collection: 140
Meta Legends: 90
DinoBabies: 60
L… https://t.co/yLfWIUMPxY",2021-12-20 17:00:01+00:00
28,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 16:56:22+00:00
29,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 16:54:49+00:00
30,adidas Originals初のNFTコレクション、26億円売り上げ https://t.co/DwjDFZvx6c @coin_post,2021-12-20 16:51:35+00:00
31,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 16:51:13+00:00
32,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 16:38:00+00:00
33,"RT @NFTSentimentX: 1H Top #NFT Volume

CLONE X - X TAKASHI MURAKAMI: Ξ74.64 ($286,024.07)
adidas Originals Into the Metaverse: Ξ28.42 ($108…",2021-12-20 16:30:15+00:00
34,"Top 10 Trending #NFT Collections Past Hour:

alien frens | (Ξ 0.0790%) | (615)
DinoBabies | (Ξ 0.1250%) | (59)
adid… https://t.co/AUKvahPQJP",2021-12-20 16:30:05+00:00
35,"RT @TheStandardPOP: ‘Into the Metaverse’ NFT คอลเล็กชันแรกของ Adidas Originals ที่ร่วมงานกับ 3 แบรนด์ดัง Bored Ape Yacht Club, Punks Comic…",2021-12-20 16:26:05+00:00
36,"RT @SweetAirDrops: Adidas Originals has officially released their plans to voyage into the Metaverse on a Twitter space happening now.
 💎@s…",2021-12-20 16:15:07+00:00
37,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollection volume traded 15h-16h

  44.250 eth… https://t.co/isD72X2eG9",2021-12-20 16:11:47+00:00
38,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 16:09:54+00:00
39,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollections sales 15h-16h

162  alien frens
74… https://t.co/kzsILwUMXc",2021-12-20 16:07:35+00:00
40,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 16:04:00+00:00
41,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 16:02:53+00:00
42,"Adidas has officially launched Originals: Into the Metaverse, a NFT collection in partnership with NFT collections… https://t.co/U55M8apDH5",2021-12-20 16:00:54+00:00
43,"1H Top #NFT Volume

CLONE X - X TAKASHI MURAKAMI: Ξ44.25 ($168,112.21)
Town Star: Ξ40.83 ($155,092.85)
adidas Origi… https://t.co/LEdIXphTRZ",2021-12-20 16:00:05+00:00
44,"1H Top #Nft Sales

Mutant ApeWives: 240
alien frens: 162
ExpansionPunks: 130
Shiba Social Club Official Collection:… https://t.co/aPeqfM5QZy",2021-12-20 16:00:00+00:00
45,"RT @TheOddDystrict: 🚨ADIDAS x TOD GIVEAWAY🚨

1 x Adidas Originals NFT 
1 x The Odd Dystrict NFT 

One lucky winner! 🚀

To Enter:
- Like, Fo…",2021-12-20 15:56:47+00:00
46,Look what I found! adidas Originals: Into the Metaverse (Phase 1) collectible https://t.co/i3f5rSBUoB #rarible… https://t.co/wB0hRGbln8,2021-12-20 15:48:55+00:00
47,"RT @CrysisNFTs: 10 Days Of Holidays Giveaways Day 2,3,4🎅

Prizes: 
4x $500 in Ethereum
1x Adidas Originals NFT!

Steps: 
Follow @mutatedape…",2021-12-20 15:47:34+00:00
48,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:43:31+00:00
49,"What a successful launch! 🤯

@adidasoriginals earned over $23.5 million by selling their NFT collection - ""Into the… https://t.co/HR3oy1vKxL",2021-12-20 15:40:42+00:00
50,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:39:51+00:00
51,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:37:55+00:00
52,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:37:46+00:00
53,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:35:27+00:00
54,"adidas Originals Into the Metaverse | (Ξ 0.1) | (39)
Lil Pudgys | (Ξ 0.047) | (24)
CROAKZ by McGill! | (Ξ 0.075) |… https://t.co/C7LVZ9ASdW",2021-12-20 15:30:09+00:00
55,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:29:42+00:00
56,https://t.co/h86wADlqup,2021-12-20 15:20:41+00:00
57,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:17:20+00:00
58,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:16:38+00:00
59,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:15:32+00:00
60,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:14:14+00:00
61,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:13:12+00:00
62,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:12:29+00:00
63,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollection volume traded 14h-15h

  74.642 eth… https://t.co/xbUmzB80Mv",2021-12-20 15:11:45+00:00
64,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:11:19+00:00
65,"RT @KittyInuToken: 🎁😻❤️
Follow the rules to qualify to win Adidas Originals: Into the Metaverse NFT:
1. Follow @KittyInuToken 
2. Like &amp; re…",2021-12-20 15:10:38+00:00
66,RT @xrp_meta: https://t.co/aJ7GYJqA5H,2021-12-20 15:08:13+00:00
67,RT @marie_lagadec_: 👉Adidas Originals se lance dans le Metaverse avec Sandbox où les utilisateurs peuvent jouer et créer des produits numér…,2021-12-20 15:05:25+00:00
68,RT @marie_lagadec_: 👉Adidas Originals se lance dans le Metaverse avec Sandbox où les utilisateurs peuvent jouer et créer des produits numér…,2021-12-20 15:00:08+00:00
69,"1H Top #NFT Volume

CLONE X - X TAKASHI MURAKAMI: Ξ74.64 ($286,024.07)
adidas Originals Into the Metaverse: Ξ28.42… https://t.co/u26TsDcS3e",2021-12-20 15:00:05+00:00
70,"1H Top #Nft Sales

ExpansionPunks: 130
alien frens: 116
JPG PEOPLE by Debbie Tea: 77
Zapper - Season 2 Edition: 70… https://t.co/DWAKfQ0ZyY",2021-12-20 15:00:01+00:00
