,tweets,timestamps
0,@polygon__nft @Cyber_Yetis @xtinctionFight @bzombiesc Apepunks admin really punked us 😂,2021-12-20 16:49:26+00:00
1,"‼️#Polygon #NFT News‼️

1. ApePunks Club dropped to 2$ after Discord and Twitter account got deleted

2.… https://t.co/k50yZ7scf4",2021-12-20 16:35:53+00:00
2,"https://t.co/yupNbppEUn are here!! 2,000 left to MINT NOW!

#NFT #NFTs #NFTlaunch #NFTdrop #NFTsale",2021-12-20 10:43:34+00:00
3,"(1)My Twitter handle has changed from Stockoptions97 to @MetaRatingsClub 

Due to the recent rugpull by the creator… https://t.co/SXQdOEpZK1",2021-12-20 01:20:10+00:00
4,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 23:10:04+00:00
5,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 22:09:33+00:00
6,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 21:58:27+00:00
7,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 20:09:29+00:00
8,@NFT_NEWS_USA @ApePunks_Club Gutted for you all. You need to join the OG apes on #PolygonNFT and be part of the… https://t.co/re6jjiORHI,2021-12-19 19:44:29+00:00
9,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:55:57+00:00
10,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:52:20+00:00
11,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:52:15+00:00
12,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:48:13+00:00
13,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:47:37+00:00
14,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:47:35+00:00
15,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 18:31:24+00:00
16,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:56:22+00:00
17,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:47:14+00:00
18,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:45:09+00:00
19,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:42:56+00:00
20,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:34:45+00:00
21,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:29:15+00:00
22,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:27:42+00:00
23,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:24:15+00:00
24,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:23:19+00:00
25,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:22:34+00:00
26,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:19:52+00:00
27,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:17:40+00:00
28,"RT @FinnsterNFTs: 600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow me
2)…",2021-12-19 17:17:35+00:00
29,"600 Follower Replacement after ApePunks Rug!!
🚨#NFTGiveaway!🚨

Winner Receives #610 @HeaddyBears!
ENTER:
1) Follow… https://t.co/JC1Qcg03EX",2021-12-19 17:16:19+00:00
30,"RT @Tikiknight1: 🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑

STOP BUYING APEPUNKS CLUB ON POLYGON. THEY RUGGED!!

https://t.co/Ez6U5YbvpO

#NFTs #NFTarti…",2021-12-19 12:22:22+00:00
31,"🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑

STOP BUYING APEPUNKS CLUB ON POLYGON. THEY RUGGED!!

https://t.co/Ez6U5YbvpO

#NFTs… https://t.co/G69jPR61Gv",2021-12-19 12:19:08+00:00
32,@NFT_NEWS_USA @ApePunks_Club It´s sad i mean for that little money pulling such a move. He could have made much mor… https://t.co/MBljBAPmj2,2021-12-19 11:03:08+00:00
33,"RT @NFT_NEWS_USA: This was Day 1 for @nft_news_usa !!

Top events of the day
1. Adidas sells $24 mil, 30K identical NFTs
2. Uniswap v3 is c…",2021-12-19 09:31:37+00:00
34,"RT @NFT_NEWS_USA: This was Day 1 for @nft_news_usa !!

Top events of the day
1. Adidas sells $24 mil, 30K identical NFTs
2. Uniswap v3 is c…",2021-12-19 08:49:35+00:00
35,@NFT_NEWS_USA @ApePunks_Club Wow,2021-12-19 07:53:05+00:00
36,"If you pull a rug, you are the scum of the Earth. *cough cough ApePunks Club cough*

#NFT #PolygonNFTs #ETH… https://t.co/0LAAc8wfag",2021-12-19 06:52:23+00:00
