,tweets,timestamps
0,@dragonseller88 Started about $500 in topshot in Dec 20 ride that crazy wave till the door of non nba nft came into… https://t.co/CDsvBc1ZWs,2021-12-18 02:36:01+00:00
1,@ShaneCultra @BoredApeYC Bought one on May 1st and another on May 2nd.  Hesitated on minting because I had never do… https://t.co/rp326xUjTi,2021-12-17 19:13:03+00:00
2,"@cclccl4461 GM.
Whitechocolate.eth plz ser. 
Won't sell.
Will send minted apymon 🥚 as a thank you
(Hardest NFT lesson learned ☝️📅)",2021-12-16 14:51:01+00:00
3,"🐳 Top Whale SELLS🔻 (Last hour):

Apymon Revolution: 11 (avg: 0.0 Ξ)
Sockz (Edition 0): 6 (avg: 0.0 Ξ)
Template: 6 (… https://t.co/fXZDgN68d9",2021-12-15 00:02:32+00:00
4,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 17:59:12+00:00
5,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 12:58:02+00:00
6,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 11:29:02+00:00
7,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 06:44:15+00:00
8,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 05:58:51+00:00
9,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-13 05:42:57+00:00
10,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-12 23:19:22+00:00
11,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-12 23:04:43+00:00
12,RT @NFTBeliever: The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ultimate…,2021-12-12 22:57:57+00:00
13,The first NFT I ever minted was Apymon. The second NFT I ever minted was Bored apes. Went from a rug pull to the ul… https://t.co/xPj18YITYK,2021-12-12 15:59:59+00:00
14,@CryptoSignCo Yes. Was focusing on projects with floors 2 Eth plus. Apymon was my first Eth NFT to be a big loss,2021-12-11 21:28:46+00:00
15,RT @beaniemaxi: @oj_top @economist @shockermandan Wool Pouch is an NFT that contains $WOOL. That $WOOL is earned linearly every block over…,2021-12-04 18:03:13+00:00
16,RT @beaniemaxi: @oj_top @economist @shockermandan Wool Pouch is an NFT that contains $WOOL. That $WOOL is earned linearly every block over…,2021-12-04 18:01:51+00:00
17,@oj_top @economist @shockermandan Wool Pouch is an NFT that contains $WOOL. That $WOOL is earned linearly every blo… https://t.co/p5z3Y3VPIZ,2021-12-04 17:39:50+00:00
18,@LFGHobbies @YatMuseum @BoredApeYC I definitely got lucky. I brought an Ape and Apymon as my first NFT purchases. N… https://t.co/AdKzF7qQed,2021-12-02 03:03:43+00:00
19,"@Ness_Graphics Apymon, one of my first NFT’s 🤣",2021-11-26 18:30:12+00:00
20,@wafudraws Yep and if they want to lose eth good for them. I got hit with 1 rug pull. Apymon my first NFT. I lost 4… https://t.co/AneJAxdWht,2021-11-18 21:26:25+00:00
