,tweets,timestamps
0,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 0.0%)
Bored Ape YC: 48.99Ξ (📉 -1.41%)
VeeFriends: 8.852Ξ (📉 -1.54%)… https://t.co/LlWtepTulF",2021-12-18 20:55:26+00:00
1,"@dcroweth When Bored Ape Yacht Club says wagmi. It's directed at their holders.

I don't really see the distinction… https://t.co/R6rTl7rDvn",2021-12-18 20:54:01+00:00
2,RT @NFTverse_: Bored Ape Yacht Club stays winning 🔥🔥,2021-12-18 20:52:55+00:00
3,RT @BoredApeYC: Very stoked to share that we've been working with the gigabrains over at @animocabrands on a p2e game. Can't wait to show m…,2021-12-18 20:52:22+00:00
4,"RT @raritokenbsc: Go secure yourself a seat for our upcoming race! #METAVERSE x #RARIVERSE

Complete the tasks below to participate on our…",2021-12-18 20:49:36+00:00
5,"RT @FayreLabs: NFT pioneers gmoney, PUNKS Comic and Bored Ape Yacht Club each help guide adidas Originals Into the Metaverse. With the comm…",2021-12-18 20:47:08+00:00
6,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:46:37+00:00
7,"Bored Ape Yacht Club NFT Mistakenly Sold for $3,000 Because of a Typo https://t.co/hlJyJRKIAX #nft",2021-12-18 20:45:32+00:00
8,Bored Ape Yacht Club NFT Sold For 62 ETH - Benzinga - Benzinga: Bored Ape Yacht Club NFT Sold For 62 ETH - Benzinga… https://t.co/iipLKt6Nzk,2021-12-18 20:42:03+00:00
9,Bored Ape Yacht Club NFT Sold For 62 ETH - Benzinga  Benzinga https://t.co/M41RrUjFSm #NftNews #NFT #NFTs,2021-12-18 20:42:02+00:00
10,Bored Ape Yacht Club NFT Sold For 62 ETH - Benzinga - Benzinga https://t.co/OyIUCWZiEk,2021-12-18 20:42:02+00:00
11,Adidas' first NFT effort appears to have been a success. The Block has learned the collaboration with Bored Ape Yac… https://t.co/oul5cunL9j,2021-12-18 20:39:26+00:00
12,"RT @decryptmedia: From our Week:

The @BoredApeYC Ape Yacht Club has become one of the most valuable NFT projects around, with celebrities…",2021-12-18 20:36:22+00:00
13,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:34:48+00:00
14,"RT @AseOfHearts: if art could see what it had become, would it regret coming into existence?

music from cupid by jack stauber
character fr…",2021-12-18 20:33:34+00:00
15,Bored Ape Yacht Club NFT Sold For 62  $ETH - https://t.co/0zO4WHw8EJ,2021-12-18 20:33:03+00:00
16,注目のNFT「Bored Ape Yacht Club（BAYC）」とは https://t.co/FQ3YikU5oQ,2021-12-18 20:29:38+00:00
17,RT @AltcoinGordon: Mfs get a bored ape yacht club hoodie and turn their back on the world 😤 https://t.co/TUjHaGbgEA,2021-12-18 20:29:04+00:00
18,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:27:48+00:00
19,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:25:22+00:00
20,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:24:23+00:00
21,"RT @MythDivision: Bored Ape origin story 👀 
#BASYC ― Issue 0 

https://t.co/5YAiD3q32t https://t.co/ajwMcD2NWl",2021-12-18 20:18:18+00:00
22,"RT @KreoFN: 🎁 BIG #NFTGiveaway 🎁

You missed Bored Ape Yacht Club? Don’t miss the Bored Bunny! 

They’re giving away:
1 NFT + 20 Whitelist…",2021-12-18 20:18:02+00:00
23,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:12:35+00:00
24,Bored Ape Yacht Club NFT Sold For 62 ETH https://t.co/xsEqyVmXq3 #crypto #cryptonews,2021-12-18 20:12:19+00:00
25,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:12:18+00:00
26,"RT @VLaunchCOM: 📣INVESTOR ANNOUNCEMENT 📣 

METAVEST CAPITAL was able to invest in the best and highest Tier Gaming &amp; Metavest Projects so f…",2021-12-18 20:10:48+00:00
27,@shuffli21 Probably club yacht ape bored,2021-12-18 20:05:13+00:00
28,"RT @CoinDesk: He’s written 10 bestselling books, but @neilstrauss might have just stumbled into the wildest subculture of his career: @Bore…",2021-12-18 20:05:13+00:00
29,this is like a symbolic image of the Bored Ape Yacht Club https://t.co/Xw0SfBA8Iw,2021-12-18 20:04:09+00:00
30,"RT @BitlandRepublic: An independent #NFT project, Sneaky Vampire Syndicate (SVS), has announced a partnership with Paramount Pictures and S…",2021-12-18 20:03:50+00:00
31,"RT @MythDivision: Bored Ape origin story 👀 
#BASYC ― Issue 0 

https://t.co/5YAiD3q32t https://t.co/ajwMcD2NWl",2021-12-18 20:03:33+00:00
32,"RT @MythDivision: Bored Ape origin story 👀 
#BASYC ― Issue 0 

https://t.co/5YAiD3q32t https://t.co/ajwMcD2NWl",2021-12-18 20:03:22+00:00
33,"RT @MythDivision: Bored Ape origin story 👀 
#BASYC ― Issue 0 

https://t.co/5YAiD3q32t https://t.co/ajwMcD2NWl",2021-12-18 20:02:48+00:00
34,"Bored Ape origin story 👀 
#BASYC ― Issue 0 

https://t.co/5YAiD3q32t https://t.co/ajwMcD2NWl",2021-12-18 20:02:26+00:00
35,"NFT pioneers gmoney, PUNKS Comic and Bored Ape Yacht Club each help guide adidas Originals Into the Metaverse. With… https://t.co/7kiz51zH3g",2021-12-18 20:00:15+00:00
