,tweets,timestamps
0,"NFT Name: Chromie Squiggle #1566 
Ether price: 5.3 Ether 
Estimated USD Price: $20894.08
Etherscan:… https://t.co/Gdp4l2c4Ap",2021-12-18 19:12:24+00:00
1,"10 colecciones de arte digital en NFT más importantes según el criterio de Bitwise.
 1. CryptoPunks 
2. Bored Ape Y… https://t.co/vkQEAtY3jH",2021-12-18 14:51:07+00:00
2,"Just launched the Invite Contest in our Golden Ticket Discord. Prizes are Creature WRLD,Chromie squiggle,Sandbox la… https://t.co/KQL6aBAwsX",2021-12-18 13:54:15+00:00
3,"米ビットワイズ、人気NFTのインデックス・ファンド立ち上げ

ビットワイズは CryptoPunks、Bored Ape Yacht Club、Mutant Ape Yacht Club、Autoglyphs、Fidenza、Ve… https://t.co/XNuA26XZ0F",2021-12-17 05:52:47+00:00
4,"BitwiseがNFTインデックスファンドを立ち上げた。

今現在のポートフォリオ
・CryptoPunks
・Bored Ape
・Mutant Ape
・VeeFriends
・Autoglyphs
・Fidenza
・Cyb… https://t.co/Jzl3f0nRDv",2021-12-17 01:05:31+00:00
5,"やぱりアメリカは早いねー😢

NFTの投資信託開始だって〜✨

CryptoPunks
Bored Ape Yacht Club
Mutant Ape Yacht Club
Autoglyphs
Fidenza
VeeFriend… https://t.co/PVLmCPG3w8",2021-12-17 00:09:11+00:00
6,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-16 09:20:31+00:00
7,"Is it a ""Chromie Squiggle"" or is it the output of some old Logo program? I guess only the Web3 NFT Metaverse owner… https://t.co/H6XSmJ6UiU",2021-12-16 08:35:55+00:00
8,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-16 03:21:14+00:00
9,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-15 21:57:44+00:00
10,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-15 19:58:07+00:00
11,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-15 19:49:21+00:00
12,"RT @MetaverseArtsCo: https://t.co/O4wqi3yCKv is live.

Introducing our 2nd #NFT collection: Chromie Squiggle Fussy on polygon
By incorporat…",2021-12-15 19:47:07+00:00
