,tweets,timestamps
0,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 21:00:17+00:00
1,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 21:00:05+00:00
2,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:59:54+00:00
3,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:59:34+00:00
4,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:58:53+00:00
5,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:58:38+00:00
6,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:57:50+00:00
7,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:57:36+00:00
8,"RT @FranksThompson_: “🚨CRAZIEST GIVEAWAY EVER🚨

RealGiveaway!🤯 so I’m giving not 1 not 2 not 3 but 4 CLONEX @RTFKTstudios

💰Floor price = 5…",2021-12-18 20:57:17+00:00
9,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:57:02+00:00
10,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:57:01+00:00
11,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:56:14+00:00
12,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:56:07+00:00
13,Gm. Ongoing is the search for the creators who will stand the test of time. 💎🤚🖼 @RTFKTstudios #CLONEX @ippsketch… https://t.co/oQchLm3yGZ,2021-12-18 20:55:55+00:00
14,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:55:35+00:00
15,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:55:14+00:00
16,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:55:08+00:00
17,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:54:45+00:00
18,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:54:44+00:00
19,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:53:14+00:00
20,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:53:03+00:00
21,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:52:31+00:00
22,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:52:23+00:00
23,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:51:54+00:00
24,"RT @Howarndrew: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Floor 
@GutterCatGang

 #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like &amp; retwee…",2021-12-18 20:51:32+00:00
25,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:51:08+00:00
26,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:50:58+00:00
27,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:50:55+00:00
28,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:50:53+00:00
29,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:50:38+00:00
30,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:50:30+00:00
31,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:50:23+00:00
32,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:50:20+00:00
33,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:50:18+00:00
34,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:49:28+00:00
35,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:49:22+00:00
36,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:49:21+00:00
37,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:48:14+00:00
38,"RT @Crims0nRIdeR: Hey bro @Vince_Van_Dough  i did it check your PM xD,
My way of doing a clonex :)
(It's 3minutes long but twitter only let…",2021-12-18 20:48:08+00:00
39,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:48:08+00:00
40,"RT @Howarndrew: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Floor 
@GutterCatGang

 #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like &amp; retwee…",2021-12-18 20:48:03+00:00
41,"RT @richpunkclub: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone wh…",2021-12-18 20:47:54+00:00
42,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:47:48+00:00
43,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:47:39+00:00
44,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:47:38+00:00
45,"RT @Crims0nRIdeR: Hey bro @Vince_Van_Dough  i did it check your PM xD,
My way of doing a clonex :)
(It's 3minutes long but twitter only let…",2021-12-18 20:47:38+00:00
46,"RT @Howarndrew: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Floor 
@GutterCatGang

 #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like &amp; retwee…",2021-12-18 20:47:37+00:00
47,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:47:31+00:00
48,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:47:21+00:00
49,"RT @Crims0nRIdeR: Hey bro @Vince_Van_Dough  i did it check your PM xD,
My way of doing a clonex :)
(It's 3minutes long but twitter only let…",2021-12-18 20:47:12+00:00
50,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:47:01+00:00
51,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:46:37+00:00
52,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:45:59+00:00
53,"RT @FranksThompson_: “🚨CRAZIEST GIVEAWAY EVER🚨

RealGiveaway!🤯 so I’m giving not 1 not 2 not 3 but 4 CLONEX @RTFKTstudios

💰Floor price = 5…",2021-12-18 20:45:46+00:00
54,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:45:20+00:00
55,"RT @metaor_eth: 🎁🎅CHRISTMAS #NFT GIVEAWAY🎅🎁
@RTFKTstudios Clone X (4.5Ξ ~ $18.000💰) 

📢1 winner will be announced in 72h! 

Rules:
❄️Follow…",2021-12-18 20:45:12+00:00
56,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:45:00+00:00
57,"RT @marioXnyc__: 🧬 CLONE X NFT #Giveaway 🧬

I am giving away an amazing Clone X at Floor @RTFKTstudios #NFT #CLONEX 

✅Follow me 👈🏻 
✅Like…",2021-12-18 20:44:43+00:00
58,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:44:22+00:00
59,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:43:33+00:00
60,"RT @JamalWestCRYPTO: I'm blessing 2 people with life changing NFTs in the next 24 hours!

A @Boredapeyc #MAYC worth 6ETH will go to someone…",2021-12-18 20:43:12+00:00
