,tweets,timestamps
0,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 0.0%)
Bored Ape YC: 48.99Ξ (📉 -1.41%)
VeeFriends: 8.852Ξ (📉 -1.54%)… https://t.co/LlWtepTulF",2021-12-18 20:55:26+00:00
1,"Biggest regret in NFT's =  fading Cool Cats.

Very un-cool of me tbh.",2021-12-18 20:48:11+00:00
2,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:46:39+00:00
3,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:45:38+00:00
4,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:44:24+00:00
5,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:39:34+00:00
6,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:31:10+00:00
7,@betty_nft Promising projects routinely fail at launch due to inaccessible entry price. Hopefully creators pay atte… https://t.co/Pb69qdHtcO,2021-12-18 20:19:23+00:00
8,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:05:16+00:00
9,@shuffli21 Cool cats NFT probably.,2021-12-18 19:50:38+00:00
10,"RT @gatsbyclubnft: 🎉Giving away 3 Golden Pass NFTs ! 🚨

This allows you to :
-Own prestigious NFTs : BAYC, Cool Cats and more 🔥💎

To enter…",2021-12-18 19:49:45+00:00
11,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:48:06+00:00
12,@goldenebrowntv @SolKitties_NFT Really cool cats 😄,2021-12-18 19:47:17+00:00
13,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:46:38+00:00
14,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:32:38+00:00
15,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:29:28+00:00
16,"RT @alexhughsam: Some @coolcatsnft alpha:
""The goal is to create the Pokemon of the nft world. The difference is that you actually own the…",2021-12-18 19:21:36+00:00
17,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:21:31+00:00
18,"RT @alexhughsam: Some @coolcatsnft alpha:
""The goal is to create the Pokemon of the nft world. The difference is that you actually own the…",2021-12-18 19:13:30+00:00
19,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:10:57+00:00
20,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:06:16+00:00
21,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:04:31+00:00
22,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 19:03:47+00:00
23,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 1.67%)
Bored Ape YC: 49.69Ξ (📉 -0.62%)
VeeFriends: 8.872Ξ (📉 -1.31%… https://t.co/TYx4V0pP8T",2021-12-18 18:55:24+00:00
