,tweets,timestamps
0,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:59:49+00:00
1,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:59:43+00:00
2,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:55:29+00:00
3,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:53:55+00:00
4,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:52:38+00:00
5,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:50:42+00:00
6,"CREATURE WORLD STARTS TOMORROW. GET YOUR @creatureNFT NOW AND EXPERIENCE ART AND NFT LIKE NEVER BEFORE 😎 

https://t.co/woQUyIGMwP",2021-12-18 20:49:54+00:00
7,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:49:32+00:00
8,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:48:33+00:00
9,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:48:27+00:00
10,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:47:29+00:00
11,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:46:09+00:00
12,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:45:24+00:00
13,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:44:56+00:00
14,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:44:44+00:00
15,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:44:36+00:00
16,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:44:26+00:00
17,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:43:44+00:00
18,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:42:59+00:00
19,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:41:48+00:00
20,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:41:37+00:00
21,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:41:23+00:00
22,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:41:17+00:00
23,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:39:33+00:00
24,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:39:18+00:00
25,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:38:34+00:00
26,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:38:29+00:00
27,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:38:22+00:00
28,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:38:21+00:00
29,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:38:05+00:00
30,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:36:56+00:00
31,"RT @dannycoleee: The Creature World release tomorrow is arguably more important for NFTs as a whole than for Creatures alone.

The masses d…",2021-12-18 20:36:55+00:00
