,tweets,timestamps
0,"@opensea Winter/summer i dont care. The only nft u need for christmas is a CryptoBull. LOOK AT THIS DETAILS.
Last c… https://t.co/V9OiS5n7VM",2021-12-17 02:21:30+00:00
1,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 22:42:00+00:00
2,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 20:04:06+00:00
3,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 13:37:55+00:00
4,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 13:01:38+00:00
5,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 11:00:14+00:00
6,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 10:56:14+00:00
7,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 10:36:11+00:00
8,"RT @TheBlackThrone: @CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, free b…",2021-12-15 10:33:48+00:00
9,"@CVBelieve You'll want to check out #CryptoBullSociety. 4K quality, celebrity artist, metaverse-ready 3D models, fr… https://t.co/y7LeeSNbW9",2021-12-15 07:46:45+00:00
10,"@punk6333 Neither. #CryptoBullSociety, look into it. @Crypto_Bull_NFT @GalyArtist #opensea #CRYPTOBULL #NFT… https://t.co/NtFAcvrXHQ",2021-12-15 04:34:18+00:00
11,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-14 15:50:33+00:00
12,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-14 09:38:17+00:00
13,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-14 06:34:41+00:00
14,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 09:51:01+00:00
15,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 07:52:27+00:00
16,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 06:24:30+00:00
17,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 06:23:56+00:00
18,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 06:23:54+00:00
19,"RT @RealLittleFish: 14 days old NFT’s selling for ~150k! 🔥

A legendary $nft #CryptoBull 7082 was just sold for 35 $ETH! 👀👀🔥

Join @Crypto_…",2021-12-13 06:23:49+00:00
