,tweets,timestamps
0,"RT @TheCrypto_Gawd: 🎄🎅🏻 🎁 @PlugWorld_  presents “Plugged Out Christmas Eve Look 👀 Vault” on Cryptovoxels. Learn, Earn &amp; Explore. 🎁🎅🏻🎄 #nft…",2021-12-18 20:57:47+00:00
1,"This is cute 🥰 last stop before I retire for today 🥂 what NFT is this?? hmmmmm 🤔

#NFT  #Cryptovoxels https://t.co/LnAQk8GwfT",2021-12-18 20:44:51+00:00
2,"RT @koud_9: Maison de Noël / @ihamnft
Christmas Time 🎄 / 1of1 / @opensea 

Have a warm and happy Christmas! 😊

➡️https://t.co/6SHadKugiL

F…",2021-12-18 20:40:49+00:00
3,So this is where you're hiding your Pepsi NFT 🥂 Niceeee 🤩 Pepsi Mic Drop NFT current floor price is at 0.69 ETH 🥳 F… https://t.co/eh2cxug05y,2021-12-18 20:40:13+00:00
4,"@TiarCrypto @cryptovoxels A project to look out for has to be @photo_chromic 

Why? Because they allow us to create… https://t.co/WT70XAP5gl",2021-12-18 20:36:20+00:00
5,RT @113kw: Thank you @4Kurious ! and also dearest @NatalieCrue who also supported us by purchasing 3d NFT Christmas tree in cryptovoxels ht…,2021-12-18 20:26:06+00:00
6,"RT @GraffitiKINGS: #Metaverse party today 🎅🎄
7/11pm GMT in #Voxels ❄️☃️

⬇️⬇️ 
https://t.co/zsLB5g0dvp 

Snipe this #NFT invite receive ton…",2021-12-18 20:24:38+00:00
7,"This is the future the Metaverse - Currently at Cryptovoxels Metaverse, my eyes getting some late night NFT Snacks… https://t.co/SO7ToPyjtz",2021-12-18 20:24:03+00:00
8,"Shopping at the Cryptovoxels Metaverse 🥂 LOVE the penguin hat!😋 I think I like it here 🤩

#NFT #Metaverse… https://t.co/Z8w07gCKLP",2021-12-18 20:19:34+00:00
9,RT @NickyDsss: Video release party for “Somebody Always Talkin” taking place in @cryptovoxels tomorrow at 6 PM at SKIES : NO CEILINGS (@stn…,2021-12-18 19:56:47+00:00
10,"RT @eddiegangland: Christmas Surprise:

Everyone who purchases one of my Christmas Gangland Skulls today will also receive an airdropped 20…",2021-12-18 19:55:43+00:00
11,RT @NickyDsss: Video release party for “Somebody Always Talkin” taking place in @cryptovoxels tomorrow at 6 PM at SKIES : NO CEILINGS (@stn…,2021-12-18 19:48:06+00:00
12,RT @NickyDsss: Video release party for “Somebody Always Talkin” taking place in @cryptovoxels tomorrow at 6 PM at SKIES : NO CEILINGS (@stn…,2021-12-18 19:47:46+00:00
13,"RT @eddiegangland: Christmas Surprise:

Everyone who purchases one of my Christmas Gangland Skulls today will also receive an airdropped 20…",2021-12-18 19:27:55+00:00
14,"RT @eddiegangland: Christmas Surprise:

Everyone who purchases one of my Christmas Gangland Skulls today will also receive an airdropped 20…",2021-12-18 19:24:30+00:00
15,Video release party for “Somebody Always Talkin” taking place in @cryptovoxels tomorrow at 6 PM at SKIES : NO CEILI… https://t.co/gjv5nYbU1N,2021-12-18 19:24:26+00:00
16,"RT @eddiegangland: Christmas Surprise:

Everyone who purchases one of my Christmas Gangland Skulls today will also receive an airdropped 20…",2021-12-18 19:24:14+00:00
17,Thanks @OBEYGIANT for doing what you do. Thanks @NFT_ish and @Postersandtoys for holding this space in… https://t.co/5z1POynQ6t,2021-12-18 19:06:41+00:00
18,If you see someone running around #Cryptovoxels with this head you know who it is. Original #nft designed by… https://t.co/fM3KUmJrfI,2021-12-18 19:05:08+00:00
19,@NFT_ish I saw a cryptovoxels link for a second and it disappeared. Can u repost? Plz . Thanks for holding the space,2021-12-18 18:34:27+00:00
