,tweets,timestamps
0,"gremplin, CrypToadz #1085, 2021 https://t.co/FpQ9mRwUjF #nft #cryptoart https://t.co/5z06JxQM5o",2021-12-20 18:41:52+00:00
1,"gremplin, CrypToadz #5631, 2021 https://t.co/pXoHM2sO5b #nft #cryptoart https://t.co/qivI2jzXm8",2021-12-20 18:27:33+00:00
2,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 51.1 Ξ
Cool Cats: 6.6 Ξ
Robotos: 0.5 Ξ
Doodl… https://t.co/lIvSaDRp19",2021-12-20 18:03:31+00:00
3,"CrypToadz just listed under floor (-2.04 %)

💰: 2.4 Ξ
🎯: https://t.co/yGU5GMNrkq

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 17:50:48+00:00
4,@sartoshi_nft Hilarious bc this legitimately happened to me on Cryptoadz launch day back in September. Twice! 😆,2021-12-20 13:27:08+00:00
5,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 51.1 Ξ
Cool Cats: 6.75 Ξ
Robotos: 0.53 Ξ
Doo… https://t.co/1unu3cXIqU",2021-12-20 12:03:01+00:00
6,"gremplin, CrypToadz #1971, 2021 https://t.co/9hgWGl428W #nft #cryptoadz https://t.co/3wqzUtk5Tk",2021-12-20 10:04:57+00:00
7,"0x6f1e bought CrypToadz #394 for 3.00 ETH ($11,487) https://t.co/QCiqRmnp3K #cryptoart #nft https://t.co/cDyZbQ6wrX",2021-12-20 09:44:32+00:00
8,"!vibe check

#cryptoadzNFT #cryptoadz #nft #NFTCommunity #nfts #nftcollectors #NFTartist #nft",2021-12-20 09:34:10+00:00
9,"GANoadz is a fusion of nouns, cryptoadz and top NFT art. Every day I discover new awesome artists and pay tribute t… https://t.co/N5Ph3f8PbK",2021-12-20 09:32:46+00:00
10,"CrypToadz just listed under floor (-2.17 %)

💰: 2.25 Ξ
🎯: https://t.co/NvRU2WJ1Mk

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 08:48:52+00:00
11,"Vibin24 bought CrypToadz #560 for 2.45 ETH ($9,445) https://t.co/Ykx6BJRXkc #nft #cryptoart https://t.co/mGDf0LY4yJ",2021-12-20 07:56:54+00:00
12,"CrypToadz just listed under floor (-2.04 %)

💰: 2.4 Ξ
🎯: https://t.co/9JSRg18jj2

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 06:13:47+00:00
13,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 51.25 Ξ
Cool Cats: 6.84 Ξ
Robotos: 0.53 Ξ
Do… https://t.co/gByLjf76nW",2021-12-20 06:03:02+00:00
14,"0x8279 bought CrypToadz #6968 for 2.69 ETH ($10,550) https://t.co/dViup1OT2t #nft #cryptoadz https://t.co/KSTl0rdTve",2021-12-20 05:54:47+00:00
15,"SnoopVentures_ bought CrypToadz #5701 for 2.45 ETH ($9,609) https://t.co/8DcvdcyY5f #nft #cryptoart https://t.co/gJbpZBKIMU",2021-12-20 05:43:51+00:00
16,"CrypToadz just listed under floor (-9.26 %)

💰: 2.45 Ξ
🎯: https://t.co/NgqKjqH7Qm

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 04:44:49+00:00
17,"CrypToadz just listed under floor (-3.92 %)

💰: 2.45 Ξ
🎯: https://t.co/YqXDOCS9Kg

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 04:06:47+00:00
18,"RT @mirsnft: Who's next? 👀

#CryptoPhunks #PhunkPham #Phunks #NFT #cryptopunks #meebits #CrypToadz https://t.co/HbwCx0zgxa",2021-12-20 03:38:26+00:00
19,"gremplin, CrypToadz #5324, 2021 https://t.co/4TlpzlVNHy #cryptoart #nft https://t.co/B2QG8wtnm1",2021-12-20 03:19:11+00:00
20,"RT @cryptoadzBot: LivingLaughingLoving bought CrypToadz #6929 for 2.60 ETH ($9,750) https://t.co/p7DtJOPqrh #nft #livinglaughingloving http…",2021-12-20 02:43:11+00:00
21,@2MyTailfin @cryptoadzNFT When 0CC takes over and this actually is some character and tv show or video game I’ll fi… https://t.co/sf30ZpxcbG,2021-12-20 02:21:10+00:00
22,@StayBiasedETH @boudinodejong @coolcatsnft Within the BOOK OF LONO (and i'm quite stunned you weren't already aware… https://t.co/ynkTtoYbOy,2021-12-20 02:09:12+00:00
23,"CrypToadz just listed under floor (-2.67 %)

💰: 2.55 Ξ
🎯: https://t.co/YqXDOCS9Kg

#cryptoadzNFT #cryptoadz #OpenSeaNFT #NFT #opensea",2021-12-20 01:38:49+00:00
24,"RT @nftflooralerts: CrypToadz just listed under floor (-0.37 %)

💰: 2.69 Ξ
🎯: https://t.co/ZGVSytrhX6

#cryptoadzNFT #cryptoadz #OpenSeaNFT…",2021-12-20 00:14:10+00:00
25,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 51.25 Ξ
Cool Cats: 6.84 Ξ
Robotos: 0.54 Ξ
Do… https://t.co/8KfsMAfAIQ",2021-12-20 00:02:55+00:00
26,"RT @cryptoadzBot: 333666999 bought CrypToadz #4929 for 2.50 ETH ($9,488) https://t.co/oiM5evKsTH #nft #333666999 https://t.co/TwFWftAHSA",2021-12-19 23:50:28+00:00
27,"CrypToadz by GREMPLIN #2949 sold to ptm for Ξ9.99 ($39,187.87)
Floor Price: Ξ2.69 ($10,552.09)… https://t.co/NHbRNrDmqL",2021-12-19 22:45:33+00:00
28,"gremplin, CrypToadz #389, 2021 https://t.co/r9CNNp9FDO #supergremplin #nft https://t.co/vTZO5Psb5e",2021-12-19 21:31:06+00:00
29,"RT @cryptoadzBot: gremplin, CrypToadz #3616, 2021 https://t.co/iyNxKfnM6H #cryptoart #nft https://t.co/tEhPWTmVuF",2021-12-19 21:30:09+00:00
