,tweets,timestamps
0,"CyberKongz just listed under floor (-6.09 %)

💰: 4.32 Ξ
🎯: https://t.co/2S2HGfuUUP

#CYBERKONGZ #OpenSeaNFT #NFT #opensea",2021-12-18 20:56:47+00:00
1,RT @TheHAndMChannel: Join The Human &amp; Machine and Apple Suen as they discuss the latest news and happenings in the #NFT world. This week's…,2021-12-18 20:55:53+00:00
2,"RT @SUPERDOGEio: #SuperDoge The NFT Animated Series - Episode 1 - Don't Tokenize Me Bro!

Make sure you head to https://t.co/bXFkWRWQWi to…",2021-12-18 20:50:16+00:00
3,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:46:39+00:00
4,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:45:53+00:00
5,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:45:38+00:00
6,@souljaboy @sandvegascasino @CyberKongz @TheSandboxGame @altura_nft  @JTV____  @TheCryptoYou,2021-12-18 20:44:44+00:00
7,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:44:24+00:00
8,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:42:44+00:00
9,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:42:08+00:00
10,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:41:25+00:00
11,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:40:20+00:00
12,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:39:34+00:00
13,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @CyberKongz
●Turn…",2021-12-18 20:38:20+00:00
14,"RT @PuffYatty: my REVISED 2022 ATH NFT predictions...

120 ETH floor:
- BAYC

100 ETH Floor
- punks
- clone X

40 ETH floor:
- gutter cats…",2021-12-18 20:31:10+00:00
