,tweets,timestamps
0,"#Jogos de #NFT #grátis - #criptomoedas - #bitcoins 
#VOXIE
#MOGWAR
#DOGE #DASH
#Thetan #Arena 
#Boomber #Party… https://t.co/ms925auc7I",2021-12-18 17:30:19+00:00
1,"@SHIBMemeMaster @NastyShib 🐶🪐PLANET OF INUS🪐🐶,
$POIS
 A Erc20 token, is aiming at integrating Doge, Shib, Floki, Sa… https://t.co/NdbSEhoQlQ",2021-12-18 07:32:14+00:00
2,Are you ready for the most intriguing and exciting ghost battle? AvastGhost play2earn NFT game.… https://t.co/7cMj8RPMVZ,2021-12-16 13:35:17+00:00
3,"RT @FlokiArtist: DODGE THE BEAR, #FLOKI !! @RealFlokiInu is here for the real battle!

#flokiartist #cryptoart #flokiinu #ElonMusk #crypto…",2021-12-15 20:54:01+00:00
4,"RT @TheSamuraiDoge: 🚨 FUTURE OF THE SAMURAI DOGE🚨
We're already 50% MINTED ‼️ Join our army as we head to battle for glory &amp; power✨
Check o…",2021-12-15 20:06:16+00:00
5,"RT @FlokiArtist: Who's ready for #VALHALLA in the @RealFlokiInu Metaverse? #FLOKI IS ABOUT TO RAGE IN BATTLE!

#flokiartist #cryptoart #flo…",2021-12-15 15:15:51+00:00
6,"RT @crypto_thai: We got an AMA with Super Mega Hyper Doge this Monday at 5:00 PM CET 

NFT battle with P2E.
Join the epic battle between su…",2021-12-15 01:21:21+00:00
7,#dogecoin just bought some doge coin so that i can afford the next battle pass with my Centrelink weekly payment… https://t.co/CtFvrbGdsp,2021-12-14 14:50:01+00:00
8,"RT @FlokiArtist: DODGE THE BEAR, #FLOKI !! @RealFlokiInu is here for the real battle!

#flokiartist #cryptoart #flokiinu #ElonMusk #crypto…",2021-12-14 05:01:12+00:00
9,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/2pwYjhOgJf,2021-12-13 22:07:40+00:00
10,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/BJonqlLlTy,2021-12-13 22:05:20+00:00
11,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/3cc4kP1l1I,2021-12-13 22:04:26+00:00
12,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/aazXla0qZU,2021-12-13 22:03:45+00:00
13,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/EFYGst51Lv,2021-12-13 22:03:41+00:00
14,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/KT2amUbsmb,2021-12-13 22:03:29+00:00
15,"@Powerpupsnft

@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups durin… https://t.co/EJyMV1bkML",2021-12-13 22:03:26+00:00
16,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/WJcICsrqM1,2021-12-13 22:03:16+00:00
17,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/rbZ6fn1nNK,2021-12-13 22:03:11+00:00
18,@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups during minting! Want… https://t.co/kXG5ShJRjo,2021-12-13 22:02:55+00:00
19,"@Powerpupsnft 

@Powerpupsnft WIN Free $Doge or $Shiba every week for 8yrs if you win one of these Golden Pups duri… https://t.co/Tor4BVFkjo",2021-12-13 22:02:29+00:00
