,tweets,timestamps
0,"RT @SPACEO18: Happy Saturday Everyone!!😇#NFTGiveaways 

🚨I will be giving away 3x @DoodleDegenApes. 🚨

1. Follow me
2. Like and retweet
3.…",2021-12-18 21:00:13+00:00
1,"1H Top #NFT Volume

adidas Originals Into the Metaverse: Ξ79.15 ($313,535.40)
Doodles: Ξ55.79 ($220,944.17)
DEGENER… https://t.co/Q6TTqrgYDv",2021-12-18 21:00:07+00:00
2,"RT @NiftyReport: 1/My main takeaways from the @doodles townhall:

1) Intend to participate in several real-world events in 2022 (SXSW, NFT…",2021-12-18 20:59:59+00:00
3,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:59:45+00:00
4,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:59:44+00:00
5,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:59:43+00:00
6,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:59:33+00:00
7,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:59:31+00:00
8,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:59:15+00:00
9,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:59:12+00:00
10,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:59:11+00:00
11,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:59:03+00:00
12,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:58:48+00:00
13,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:58:46+00:00
14,"RT @SPACEO18: Happy Saturday Everyone!!😇#NFTGiveaways 

🚨I will be giving away 3x @DoodleDegenApes. 🚨

1. Follow me
2. Like and retweet
3.…",2021-12-18 20:58:41+00:00
15,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:58:12+00:00
16,"RT @NiftyReport: 1/My main takeaways from the @doodles townhall:

1) Intend to participate in several real-world events in 2022 (SXSW, NFT…",2021-12-18 20:58:07+00:00
17,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:57:55+00:00
18,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:57:52+00:00
19,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:57:47+00:00
20,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:57:44+00:00
21,"RT @coodles_nft: 🎉COODLES NFT GIVEAWAY 🎉

Rules to enter:
1⃣ Follow @coodles_nft 
2⃣ RT &amp; Tag 2 Friends 🌈
3⃣ Join our Discord! https://t.co…",2021-12-18 20:57:42+00:00
22,"Happy Saturday Everyone!!😇#NFTGiveaways 

🚨I will be giving away 3x @DoodleDegenApes. 🚨

1. Follow me
2. Like and r… https://t.co/VHO6vzJKdL",2021-12-18 20:57:40+00:00
23,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:57:39+00:00
24,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:57:32+00:00
25,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:57:24+00:00
26,"RT @FoxinebelugaWil: One person who retweets and follows me will win a @doodles NFT worth 4 $ETH

Doing my best this Christmas🎄#NFTCOMMUNIT…",2021-12-18 20:57:19+00:00
27,"RT @DemonsNFT: I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing). 

Just follow, retweet, and follo…",2021-12-18 20:57:03+00:00
