,tweets,timestamps
0,"@LazaroArmand0 Ahí esta el tema de todo el hilo, que el simple hecho de ser un NFT no da garantía de nada. Si el pr… https://t.co/iK2MfOdTRW",2021-12-18 18:21:34+00:00
1,You can ape around Monkey Island in @NetVRk1 metaverse as this Terminator evolved ape by owning 1 of 3333 OG apes… https://t.co/bv6qOuorgx,2021-12-18 17:38:47+00:00
2,"'Evolved Apes' NFT creator allegedly absconds with $2.7 million
#bitcoin #ethereum #DOGE #binance
https://t.co/UIQ36MtrM3",2021-12-18 12:30:01+00:00
3,"@bobvids NFT might just confirm this might be a ""take the money and run"" kind of operation, considering the Evolved… https://t.co/37bXU6Y5ks",2021-12-17 22:52:38+00:00
4,"RT @ytopp_art: gm!🥰so I thought I'd try and sculpt a @BoredApeYC. Surprisingly not as difficult as I imagined. As it turns out, knowledge o…",2021-12-17 22:43:47+00:00
5,"According to the theory of evolution, humans evolved from apes ( unapproved ) 
According to Nft theory, Hapes evolv… https://t.co/hbaGz5zbhs",2021-12-17 14:49:33+00:00
6,"@michaelmphysics That's fair, my distaste stems from how it tends to feel like a big ponzi scheme, a soulless corpo… https://t.co/se66UMzCHl",2021-12-17 12:58:56+00:00
7,"gm!🥰so I thought I'd try and sculpt a @BoredApeYC. Surprisingly not as difficult as I imagined. As it turns out, kn… https://t.co/QHwsPnaJVT",2021-12-17 06:44:35+00:00
8,"@slhamlet Just search ""Evolved Apes NFT"", if you wanna see just how laughably bad NFTs can be.",2021-12-16 23:58:01+00:00
9,. @FightbackApes I bought an Evolved Ape before the rug pull. Does that mean I’m somehow eligible for a Fight Back Apes NFT?,2021-12-16 16:16:16+00:00
10,"If anyone is so interested- here’s some research to back my statements:

1) https://t.co/P39oQXysJk

2)… https://t.co/6GcHNQjzqG",2021-12-16 14:13:56+00:00
11,@devastation_nft @marshmellobun @MRKrinkels @XxGRIM_HEARTxX @CirclionHero https://t.co/CAwiNOqZzc… https://t.co/O0QQ3cZFtW,2021-12-16 10:56:03+00:00
12,@TiiaAurora @emkaaay So geschehen bei Evolved Apes https://t.co/D1WihgFr3B,2021-12-15 23:49:21+00:00
13,"May I suggest, whatever NFT's you're evolved with please register the relating/corresponding metaverse name today.… https://t.co/D8xvFwVeaV",2021-12-15 22:54:36+00:00
14,"RT @mattthr: NFT scam marks:  “there were multiple red flags” in Evolved Apes early on, “but 99% of us were just blinded by the art""

The a…",2021-12-15 15:05:05+00:00
15,"RT @mattthr: NFT scam marks:  “there were multiple red flags” in Evolved Apes early on, “but 99% of us were just blinded by the art""

The a…",2021-12-15 15:04:49+00:00
16,"@djfrontliner There are tons of resources out there, documenting all the shadiness of this whole scene:… https://t.co/lUku33Frnb",2021-12-15 13:43:40+00:00
17,De Terminator als hij ziet dat ik zijn investerings-strategie heb overgenomen om al mijn spaargeld te investeren in… https://t.co/iTbir8TMkh,2021-12-15 10:25:15+00:00
