,tweets,timestamps
0,"RT @nftwhalealert: Hourly Top Mints
Non-Fungible Aliens Official: 1162
Tboa Club: 500
Flutter Gen Art: 301
Olyver - Non Fungible Story: 300…",2021-12-17 03:50:38+00:00
1,"RT @FarmerApes: 😈 If you don't RT &amp; Like this, you don't deserve to be a Farmer Apes holder.
🐵 Launching in 2 DAYS❣️❣️
🙋🏻‍♂️ What are we fe…",2021-12-17 03:29:26+00:00
2,"DI Animals | 48
InBetweeners - GianPiero | 45
Roaring Roccstars (Offici... | 40
Farmer Apes (FAYC) | 37
Rowdy Roo B… https://t.co/CrAdm698px",2021-12-16 06:00:11+00:00
3,"1H Top #NFT Mints

Project NANOPASS: 205
Cyborg Billionaire Club: 143
Ape Gang New: 141
YYield Guild Badge: 81
COSM… https://t.co/EdQDEzWCpv",2021-12-16 06:00:06+00:00
4,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-16 01:10:42+00:00
5,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 19:53:02+00:00
6,"RT @FarmerApes: Are you going to list your Farmer Apes? If yes, how much $ETH?

#NFT #NFTs #NFTcollection #NFTcommunitiy #FAYC #Farmersclub…",2021-12-15 19:47:03+00:00
7,"RT @FarmerApes: How many Farmer Apes do you plan on aping in?
Wrong answers only. 

Dropping in 7 and a half hours-ish.

#NFTs #NFT #NFTPro…",2021-12-15 18:41:19+00:00
8,"RT @nftwhalealert: Hourly Top Mints
Non-Fungible Aliens Official: 1162
Tboa Club: 500
Flutter Gen Art: 301
Olyver - Non Fungible Story: 300…",2021-12-15 18:17:10+00:00
9,"Hourly Top Mints
Non-Fungible Aliens Official: 1162
Tboa Club: 500
Flutter Gen Art: 301
Olyver - Non Fungible Story… https://t.co/TmdztVpfzW",2021-12-15 17:30:01+00:00
10,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:53:46+00:00
11,"RT @FarmerApes: Something you should know about Farmer Apes.
Art, check ✅
Utility, check ✅
P2E Game, check ✅
Team, check ✅
Community, check…",2021-12-15 16:44:04+00:00
12,"Hourly Top Mints
Nifkey: 68
Polite Raptors Pack: 39
LAZY BUCKS NFT COLLECTION: 35
Farmer Apes (FAYC): 22
Players On… https://t.co/jjSu7LmCvA",2021-12-15 16:30:03+00:00
13,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:26:06+00:00
14,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:18:34+00:00
15,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:18:32+00:00
16,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:17:48+00:00
17,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:14:23+00:00
18,"RT @FarmerApes: 🔥 Presale is NOW LIVE
🐵 Mint here, https://t.co/H7u8tNFhux
🚜 OS: https://t.co/AJP86vvf1G
🍌 Only use official links on the s…",2021-12-15 16:13:29+00:00
