,tweets,timestamps
0,"RT @T_Wellington_: @BadgerSalesman @eagerbevs @FahadoukenNFT @ADASuperHero Also, the frogs in disguise discord link in their Twitter bio wa…",2021-12-18 06:56:19+00:00
1,"@BadgerSalesman @eagerbevs @FahadoukenNFT @ADASuperHero It was masked monsters nft, folks were saying it was very s… https://t.co/FpYAnLieC7",2021-12-18 06:50:07+00:00
2,"@BadgerSalesman @eagerbevs @FahadoukenNFT @ADASuperHero Also, the frogs in disguise discord link in their Twitter b… https://t.co/dPSkCmlkmJ",2021-12-18 06:45:07+00:00
3,"RT @Asleepatthewhe1: Please beware of the NFT project MaskedMonsters, they are the same team behind Frogs in Disguise which now has a floor…",2021-12-16 12:54:48+00:00
4,"RT @Asleepatthewhe1: Please beware of the NFT project MaskedMonsters, they are the same team behind Frogs in Disguise which now has a floor…",2021-12-16 12:46:53+00:00
5,"RT @Asleepatthewhe1: Please beware of the NFT project MaskedMonsters, they are the same team behind Frogs in Disguise which now has a floor…",2021-12-15 08:24:23+00:00
6,"@Kiekong @maskdmonsters @NFT @FrogsInDisguise Yeah men, back when I was in their discord, messages with ""frogs"" ""fr… https://t.co/ny1WNl4USZ",2021-12-15 08:17:32+00:00
7,@kcigarmsmoket @lvloneyMike @nft_dean @SattoNFT @Curtis45875644 @NftUniversity I do think SolSea has a burn address… https://t.co/Skoei6IoOO,2021-12-10 02:24:20+00:00
8,"RT @unixplaytoearn: Frogs in Disguise Record $2 Million in NFT Sales

Read more:
https://t.co/EhVLLojZtd

@FrogsInDisguise

#p2e #frogsindi…",2021-12-10 01:54:19+00:00
9,"Please beware of the NFT project MaskedMonsters, they are the same team behind Frogs in Disguise which now has a fl… https://t.co/Zmhrs9MxRk",2021-12-08 08:27:05+00:00
10,"RT @unixplaytoearn: Frogs in Disguise Record $2 Million in NFT Sales

Read more:
https://t.co/EhVLLojZtd

@FrogsInDisguise

#p2e #frogsindi…",2021-11-26 13:03:35+00:00
11,"RT @unixplaytoearn: Frogs in Disguise Record $2 Million in NFT Sales

Read more:
https://t.co/EhVLLojZtd

@FrogsInDisguise

#p2e #frogsindi…",2021-11-25 15:49:02+00:00
