,tweets,timestamps
0,Check out the Gambling Apes NFT collection it's moving:) #gamblingapes,2021-12-19 17:32:10+00:00
1,@lilbaby4PF Gambling apes is a really good NFT to buy right now!! @gamblingapes,2021-12-19 01:33:28+00:00
2,@VictorVanDNFTer Favorite NFT is Gambling Apes!  Casino!  Profit Sharing!  Oh my!,2021-12-19 00:04:06+00:00
3,"@StewScottDesign @MatthewJArtz NFT’s worlds ain’t recent, Adidas was mad hyped, lemon frens ive seen hyped from som… https://t.co/YODuTVz34y",2021-12-18 18:03:41+00:00
4,"@cryptjoe9 @MatthewJArtz Got Lemon frens at .04 couple days ago floor is over .14 now.
Pet hooligans, mint .08 now… https://t.co/Ixs6Dfp5ju",2021-12-18 18:02:13+00:00
5,@coyotecartelnft I think the next purchase should be the Slotie NFT project. It aligns perfectly with the Gambling Apes holdings.,2021-12-18 17:56:40+00:00
6,@epictrades1 Hey DP any opinion on the gambling apes nft’s?,2021-12-18 16:12:32+00:00
7,#gambling apes #NFT #gamblingapes https://t.co/16CJZGiuPX,2021-12-18 03:21:01+00:00
8,"@Zeneca_33 @SSofWhales due to the strong community where we help each other grow in this NFT landscape.   

From mo… https://t.co/k1kPmILsOq",2021-12-17 21:22:16+00:00
9,@romankhai @StonedApeCrew @MagicEden_NFT I think it depends how many apes you have. If at least two of my apes can… https://t.co/J0FvSw5nrD,2021-12-17 19:10:06+00:00
10,"RT @RaritySniperNFT: Giveaway! 🎉

Rarity Sniper has partnered with @gamblingapes to give away one Gambling Apes NFT.

To enter:
1. Follow @…",2021-12-17 18:49:08+00:00
11,"1H Top #Nft Sales

Gray Boys: 87
Ape Kids Club (AKC): 80
Gambling Apes: 70
Mekaformers: 55
Shiba Social Club Offici… https://t.co/FDmYnniTQz",2021-12-17 17:00:01+00:00
12,"Gambling Apes | (Ξ 1.08) | (21)
My Pet Hooligan | (Ξ 0.538) | (20)
Meta Legends | (Ξ 0.21) | (18)
METABILLIONAIRE |… https://t.co/RTJBGcjPjQ",2021-12-17 15:30:10+00:00
13,"RT @RaritySniperNFT: Giveaway! 🎉

Rarity Sniper has partnered with @gamblingapes to give away one Gambling Apes NFT.

To enter:
1. Follow @…",2021-12-17 15:04:10+00:00
14,"1H Top #NFT Volume

Project NANOPASS: Ξ47.29 ($176,577.22)
Town Star: Ξ41.91 ($156,488.71)
Gambling Apes: Ξ24.66 ($… https://t.co/QJONakGagC",2021-12-17 15:00:08+00:00
15,RT @CryptoRico12: Gambling Apes |  ATH Break Out 1.5 ETH | Casino Ownership NFT's https://t.co/huIEhK8TMc via @YouTube,2021-12-17 13:38:59+00:00
16,RT @CryptoRico12: Gambling Apes |  ATH Break Out 1.5 ETH | Casino Ownership NFT's https://t.co/huIEhK8TMc via @YouTube,2021-12-17 07:05:24+00:00
17,"RT @Vizcei: This weekend is going to be expensive and exciting:
•Minting Equine &amp; 3Degen
•ADA Handle launching
•Gambling Apes opening their…",2021-12-17 05:27:30+00:00
18,Gambling Apes |  ATH Break Out 1.5 ETH | Casino Ownership NFT's https://t.co/huIEhK8TMc via @YouTube,2021-12-17 05:18:12+00:00
19,"RT @RaritySniperNFT: Giveaway! 🎉

Rarity Sniper has partnered with @gamblingapes to give away one Gambling Apes NFT.

To enter:
1. Follow @…",2021-12-17 05:11:34+00:00
20,@logmantm2 @dehayac425 @Debjeet07506711 @13cardz @05tweety @capitalistbank @DupesDidItMusic @trickygranny… https://t.co/Rwn3RN2P6G,2021-12-17 05:09:03+00:00
21,"This weekend is going to be expensive and exciting:
•Minting Equine &amp; 3Degen
•ADA Handle launching
•Gambling Apes o… https://t.co/uLPJQYVAPc",2021-12-17 03:27:25+00:00
22,"RT @CardedSam: Writeup #1: @gamblingapes 

Gambling Apes
NFT Count: 7777 | Mint Cost: .077 Eth | Money Generated: 598.829 Eth
Website: http…",2021-12-16 17:22:48+00:00
23,"Iris World Inc. is a company headquartered in Delaware, USA. They hired a dynamic and experienced team known for th… https://t.co/H2nwh5iV8e",2021-12-16 17:05:58+00:00
24,@BrianGarrett Definitely buy more GAMBLING APES‼️ ONLY NFT THAT HAS GONE FROM .077 TO A FLOOR OF 1.4💪🏼 IN MONTHS AN… https://t.co/dNAxws2ftC,2021-12-16 02:29:34+00:00
25,"RT @CardedSam: Writeup #1: @gamblingapes 

Gambling Apes
NFT Count: 7777 | Mint Cost: .077 Eth | Money Generated: 598.829 Eth
Website: http…",2021-12-15 23:56:24+00:00
26,"RT @CardedSam: Writeup #1: @gamblingapes 

Gambling Apes
NFT Count: 7777 | Mint Cost: .077 Eth | Money Generated: 598.829 Eth
Website: http…",2021-12-15 23:17:03+00:00
27,"RT @CardedSam: Writeup #1: @gamblingapes 

Gambling Apes
NFT Count: 7777 | Mint Cost: .077 Eth | Money Generated: 598.829 Eth
Website: http…",2021-12-15 16:01:26+00:00
