,tweets,timestamps
0,"RT @NftTrader: We welcome 👐 the owners of newly listed #NFT collections, @AsyncArt &amp; @JaduHologram to @NFTTrader ! 🙏
 
1 #Async Blueprints…",2021-12-17 16:45:14+00:00
1,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-17 10:37:27+00:00
2,"RT @kentbye: @singularitymike @LuAngeles @BSquidding I'm looking forward to this chat!

I focus a lot more on the VR/AR parts of the Metave…",2021-12-17 04:21:11+00:00
3,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-17 03:17:25+00:00
4,"RT @kentbye: @singularitymike @LuAngeles @BSquidding I'm looking forward to this chat!

I focus a lot more on the VR/AR parts of the Metave…",2021-12-17 01:44:45+00:00
5,"RT @kentbye: @singularitymike @LuAngeles @BSquidding I'm looking forward to this chat!

I focus a lot more on the VR/AR parts of the Metave…",2021-12-17 01:03:47+00:00
6,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 22:00:01+00:00
7,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:52:20+00:00
8,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:42:40+00:00
9,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:40:56+00:00
10,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:40:01+00:00
11,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:37:13+00:00
12,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:37:04+00:00
13,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-16 21:36:35+00:00
14,"RT @NftTrader: We welcome 👐 the owners of newly listed #NFT collections, @AsyncArt &amp; @JaduHologram to @NFTTrader ! 🙏
 
1 #Async Blueprints…",2021-12-16 18:08:03+00:00
15,"We welcome 👐 the owners of newly listed #NFT collections, @AsyncArt &amp; @JaduHologram to @NFTTrader ! 🙏
 
1 #Async Bl… https://t.co/rIUQDoVDvl",2021-12-16 17:46:51+00:00
16,"RT @kentbye: @singularitymike @LuAngeles @BSquidding I'm looking forward to this chat!

I focus a lot more on the VR/AR parts of the Metave…",2021-12-16 16:39:41+00:00
17,"@singularitymike @LuAngeles @BSquidding I'm looking forward to this chat!

I focus a lot more on the VR/AR parts of… https://t.co/xouwDHFTfS",2021-12-16 16:16:45+00:00
18,"NFT jetpack'leri satan kripto girişimi Jadu, General Catalyst liderliğinde 7 milyon dolar yatırım aldı… https://t.co/uxbbHvxAJN",2021-12-16 09:51:10+00:00
19,"1028: Jadu Pivoting from Celebrity Holograms to World-Scale, AR NFT Platform with Jetpack ...… https://t.co/VZS0o0kSXg",2021-12-16 09:23:03+00:00
20,"Jetpack 776 jaduhologram was just sold to an unknown buyer. #NFT #cryptoart
Selling price: 5.55 ETH
Collection / Pl… https://t.co/dTG9eyYO5W",2021-12-15 20:30:54+00:00
21,"#1028: Jadu Pivoting from Celebrity Holograms to World-Scale, AR NFT Platform with Jetpack &amp; Hoverboard Wearables https://t.co/EqY79aiOHp",2021-12-15 18:44:15+00:00
22,"RT @NFTrendingAlert: 'Jadu Jetpack' just entered OpenSea Trending NFT Collections.

#OpenSeaTrending #OpenSea #NFT #TrendingNFTs #JaduJetpa…",2021-12-15 18:20:10+00:00
23,"'Jadu Jetpack' just entered OpenSea Trending NFT Collections.

#OpenSeaTrending #OpenSea #NFT #TrendingNFTs #JaduJetpack",2021-12-15 18:16:28+00:00
24,"RT @kentbye: I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirrorverse pla…",2021-12-15 17:38:57+00:00
25,"I spoke with @AsadJMalik on @JaduHologram's pivot from making AR holograms of celebrities to a world-scale, AR Mirr… https://t.co/91KmA3c8fn",2021-12-15 16:44:35+00:00
26,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollection volume traded 20h-21h

 284.786 eth… https://t.co/QJmqXC5Cf1",2021-12-14 21:11:57+00:00
27,"...
43   Little Lemon Friends
42   MoodRollers by Lucas Zanotto
34   Property's NFT
31   Thingdoms
30   Jadu Jetpack",2021-12-14 21:07:50+00:00
28,"1H Top #NFT Volume

CLONE X: Ξ284.79 ($1,087,280.64)
Pepsi Mic Drop: Ξ279.83 ($1,068,344.19)
RTFKT - CloneX Mintvia… https://t.co/1m67UaLWXN",2021-12-14 21:00:05+00:00
29,"RT @CryptoTegridy: No team in the #Crypto / #NFT space works as hard as the @JaduHologram team

Huge congrats on the original #Jetpack laun…",2021-12-14 04:05:45+00:00
30,"No team in the #Crypto / #NFT space works as hard as the @JaduHologram team

Huge congrats on the original #Jetpack… https://t.co/GMPE3VXrOo",2021-12-13 22:19:11+00:00
31,@imzachkerr @JaduHologram Jadu rewarded anyone who owned a Jadu jetpack by airdropping a hoverboard NFT into the wa… https://t.co/7gyUOunJZ3,2021-12-13 02:49:04+00:00
32,"RT @CryptopunkLTD: GM, 

It's the 12th and the @JaduHologram Hoverboards have started being airdropped to Jetpack holders, new rarities up…",2021-12-12 07:48:51+00:00
33,"GM, 

It's the 12th and the @JaduHologram Hoverboards have started being airdropped to Jetpack holders, new raritie… https://t.co/BQLsq1ibVo",2021-12-12 07:48:34+00:00
34,Sold! Jetpack 715 was purchased by FriendlyDegen for Ξ16.8 ($68k) $ETH #NFT #NFTs #digitalart #art #cryptoart… https://t.co/Oz8QfziHXi,2021-12-12 05:29:01+00:00
35,"collab @cybotz_nft
#NftsRankingBot #ETH #Opensea #NFTs

Top 10 #NFTCollection volume traded 03h-04h

  44.980 eth… https://t.co/nd5ecuYZC1",2021-12-12 04:11:47+00:00
36,"🐳 Top Whale BUYS🟢 (Last hour):

Vikings &amp; Villagers NFT: 4 (avg: 0.09 Ξ)
Wizards &amp; Dragons Game (WnD): 3 (avg: 0.15… https://t.co/SbCT95STl0",2021-12-11 05:02:02+00:00
37,"明日のsnapshotで #jetpack を保有していると #jadu のhoverboardがAirDrop。

さらに熊のwhitelist権利も併せ持つ黒の #jetpack が既に約5ETH。

交換でしか売れないNFT… https://t.co/b7kjTmwb9h",2021-12-10 07:57:17+00:00
38,"RT @JaduHologram: The only *guaranteed way to receive a Hoverboard NFT is to purchase a Jadu Jetpack.

All Jetpack holders will be airdropp…",2021-12-10 07:21:12+00:00
39,"Snoop Doggお墨付き!?
Jadu(@JaduHologram)🛹
過去のJetpackで大人気となったNFTの新作が登場。
JetPackホルダーにはエアドロップされるとアナウンスがあり価格上昇中(現在3.3ETH)
私… https://t.co/ij7wFkwsHN",2021-12-10 01:28:56+00:00
40,RT @nft_tracker: Sold! Jetpack 694 was purchased for Ξ14.4444 ($60k) $ETH #NFT #NFTs #digitalart #art #cryptoart #ethereum @jaduhologram ht…,2021-12-08 11:15:08+00:00
41,"@money__mitch88 @JaduHologram @psychedelic_nft That’s awesome! 
Congrats 🎉 do you have a Jadu Jetpack? Or joining t… https://t.co/E6dRy6nOVs",2021-12-08 01:48:07+00:00
42,RT @nft_tracker: Sold! Jetpack 694 was purchased for Ξ14.4444 ($60k) $ETH #NFT #NFTs #digitalart #art #cryptoart #ethereum @jaduhologram ht…,2021-12-06 19:29:46+00:00
