,tweets,timestamps
0,"Want free NFTs? Just join the @LazyLionsNFT
discord using this link, and you can claim your lazy lions collectibles… https://t.co/IktK75puU0",2021-12-18 20:57:53+00:00
1,"https://t.co/CLDcq9S3tx
Got two free Lazy Lions Collectibles
`Add a friend to Discord and you both get Lazy Lions C… https://t.co/dN5pv4sKrQ",2021-12-18 20:47:03+00:00
2,@LazyLionsNFT are offering free collectible cards here: https://t.co/3YzLMOuCdC If you collect them all you partici… https://t.co/RIwaFTyepl,2021-12-18 20:24:24+00:00
3,"RT @ManuLionCrypto: Announcement 
Because of my involvement in Crypto, NFT and Lazy Lions, I am going to change my social medias to ManuLio…",2021-12-18 20:18:22+00:00
4,@killerqueen_nft @atikarss @BabyLionsClub https://t.co/qx3WSczsjl,2021-12-18 20:00:35+00:00
5,RT @ahaas1055: Sooner or later your FOMO will kick in. Don’t miss out🦁 #NFTs #NFT #LazyLions #NFTcollectibles @BabyLionsClub https://t.co/q…,2021-12-18 19:51:36+00:00
6,"RT @nftworldsNFT: @LazyLionsNFT 

Your private island community awaits. 

Complete with yachts, villas, a party city venue and more.

The L…",2021-12-18 19:22:05+00:00
7,"@themetroverse The Metrovers NFT conference started with a big bang. All the great ones were there. The apes, the l… https://t.co/w0s67tobFP",2021-12-18 18:57:21+00:00
8,"On the sixth day of Christmas my true love gave to me
Six crypto coven witches 
Five top shots
Four meebits
Three c… https://t.co/3XzR2Dimtv",2021-12-18 18:17:19+00:00
9,"On the fifth day of Christmas my true love gave to me
Five top shots
Four meebits
Three crypto punks
Two lazy lions
And a bored ape NFT",2021-12-18 18:16:41+00:00
10,"On the fourth day of Christmas my true love gave to me
Four meebits
Three crypto punks
Two lazy lions
And a bored ape NFT",2021-12-18 18:15:56+00:00
11,"On the third day of Christmas my true love gave to me
Three crypto punks
Two lazy lions
And a bored ape NFT",2021-12-18 18:15:19+00:00
12,"On the second day of Christmas my true love gave to me
Two lazy lions
And a bored ape NFT",2021-12-18 18:15:04+00:00
13,Sooner or later your FOMO will kick in. Don’t miss out🦁 #NFTs #NFT #LazyLions #NFTcollectibles @BabyLionsClub https://t.co/qx3WSczsjl,2021-12-18 18:11:28+00:00
14,"Royal Society of Players: 0.08 Ξ
Rumble Kong League: 2.7 Ξ
Lazy Lions: 1.1 Ξ
Party Penguins: 0.0 Ξ
Space Poggers: 0… https://t.co/k2aj4VU5qT",2021-12-18 18:03:14+00:00
15,"@shuffli21 For me it's definitely Lazy Lions, everything's being built for long term. @Coinbase_NFT was just the st… https://t.co/cmPYwsunA2",2021-12-18 17:38:31+00:00
16,"RT @ManuLionCrypto: Announcement 
Because of my involvement in Crypto, NFT and Lazy Lions, I am going to change my social medias to ManuLio…",2021-12-18 17:31:37+00:00
17,"RT @Cris_Ride: Join the @LazyLionsNFT Discord and claim your Free Collectibles Cards NFTs

Please join through my invite link and We both g…",2021-12-18 17:18:56+00:00
18,"RT @exodia_io: 🚨 Exodia won the first Lazy Lions Den event. To celebrate, we're giving away an Exodia NFT to a #LazyLions holder!

🐦 Follow…",2021-12-18 17:10:48+00:00
19,"RT @ManuLionCrypto: Announcement 
Because of my involvement in Crypto, NFT and Lazy Lions, I am going to change my social medias to ManuLio…",2021-12-18 16:19:13+00:00
20,"RT @LazyDoodleLions: 🎅🏼 SANTA CLAUS IS COMING 🎅🏼 
🎁 HUGE #NFTGiveway 
🖼 WIN 1x Lazy Doodle Lions NFT 

👇 3 SIMPLE STEPS👇 
✅ FOLLOW US 
✅ LI…",2021-12-18 16:04:42+00:00
21,"Announcement 
Because of my involvement in Crypto, NFT and Lazy Lions, I am going to change my social medias to Man… https://t.co/QS9BHdsKSj",2021-12-18 15:10:37+00:00
22,"RT @LazyDoodleLions: 🎅🏼 SANTA CLAUS IS COMING 🎅🏼 
🎁 HUGE #NFTGiveway 
🖼 WIN 1x Lazy Doodle Lions NFT 

👇 3 SIMPLE STEPS👇 
✅ FOLLOW US 
✅ LI…",2021-12-18 14:54:49+00:00
23,RT @Sarah92_AZ: @ForFrontNFT @ApeDadsNFT @Beavis1234 @alditou @woolmcw @Crypto_M_007 Collect the entire set of Lazy Lions Collectible Cards…,2021-12-18 14:10:44+00:00
24,"RT @LazyDoodleLions: 🎅🏼 SANTA CLAUS IS COMING 🎅🏼 
🎁 HUGE #NFTGiveway 
🖼 WIN 1x Lazy Doodle Lions NFT 

👇 3 SIMPLE STEPS👇 
✅ FOLLOW US 
✅ LI…",2021-12-18 13:41:27+00:00
25,"Royal Society of Players: 0.08 Ξ
Rumble Kong League: 3.0 Ξ
Lazy Lions: 1.14 Ξ
Party Penguins: 0.0 Ξ
Space Poggers:… https://t.co/iqpFl8YRAl",2021-12-18 12:03:08+00:00
26,"RT @LazyDoodleLions: 🎅🏼 SANTA CLAUS IS COMING 🎅🏼 
🎁 HUGE #NFTGiveway 
🖼 WIN 1x Lazy Doodle Lions NFT 

👇 3 SIMPLE STEPS👇 
✅ FOLLOW US 
✅ LI…",2021-12-18 11:34:21+00:00
27,"RT @BradleyPantling: Join the Lazy Lions discord, the best community in the NFT space 🦁🚀

https://t.co/83ozvHKLHb

#lazylions #Roar https:/…",2021-12-18 11:33:50+00:00
28,"RT @BStalli0n: With Christmas just around the corner, @LazyLionsNFT  is giving away for free the latest Collectibles series.

Simply join t…",2021-12-18 11:32:03+00:00
29,@ForFrontNFT @ApeDadsNFT @Beavis1234 @alditou @woolmcw @Crypto_M_007 Collect the entire set of Lazy Lions Collectib… https://t.co/W1y7laeLep,2021-12-18 10:23:20+00:00
30,@SolanaNFTrader @ApeDadsNFT @resoresss @korii95 @BurunluMehmet Collect the entire set of Lazy Lions Collectible Car… https://t.co/JwJXmfJM9i,2021-12-18 10:23:11+00:00
31,@AutoTeil_Flo @ApeDadsNFT @DieKrankeBanane Collect the entire set of Lazy Lions Collectible Cards to enter to win a… https://t.co/pC0iTzlGhp,2021-12-18 10:23:05+00:00
32,@wonnie_cityxx @haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a La… https://t.co/iQONhqIA43,2021-12-18 10:22:44+00:00
33,@strapseok22 @haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy… https://t.co/BwGIRG7pnx,2021-12-18 10:22:37+00:00
34,Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. Entries close Tuesday 30th… https://t.co/q8xBkemRlY,2021-12-18 10:22:27+00:00
35,@astrid_sebong @haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a La… https://t.co/owxrTW9MHg,2021-12-18 10:22:05+00:00
36,@yongbokkutie @haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a Laz… https://t.co/gmRVxqYZds,2021-12-18 10:21:47+00:00
37,@yjwlxvrs @haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Li… https://t.co/GguRY55s2F,2021-12-18 10:21:36+00:00
38,@haytsuu @Knightsofchain Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. E… https://t.co/5MCtExkK2K,2021-12-18 10:21:23+00:00
39,@kyleshortstax @BirdsHaveBalls @mkion @ryan @MustacheTommy Collect the entire set of Lazy Lions Collectible Cards t… https://t.co/jlAtddSxkv,2021-12-18 10:08:26+00:00
40,@pawpawisland @KICKFLIP_NFT Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT… https://t.co/zzy1yxWUph,2021-12-18 10:04:00+00:00
41,@ilham_nft @CampendonkP Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. En… https://t.co/gx7ESjLJrz,2021-12-18 10:00:49+00:00
42,"RT @ManuLevyPhoto: Second drop of Lazy Lions Collectibles is here, Christmas themed! 

Claim the drop with this invite to the Lazy Lions Di…",2021-12-18 10:00:09+00:00
43,@enareverse @yuimaru507 @masao19836 @Lady_Dot_NFT @T163386463 Collect the entire set of Lazy Lions Collectible Card… https://t.co/GZ4KNwRrtN,2021-12-18 09:59:17+00:00
44,"Join the Lazy Lions discord, the best community in the NFT space 🦁🚀

https://t.co/83ozvHKLHb

#lazylions #Roar https://t.co/Rl9Vz7GwQb",2021-12-18 09:58:41+00:00
45,@Mauritz98247150 @TheCryptoLark @CopiosaOfficial @altura_nft Collect the entire set of Lazy Lions Collectible Cards… https://t.co/EiHvBfKzNF,2021-12-18 09:58:36+00:00
46,@Evgeniy565353 Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. Entries clo… https://t.co/J7q5v9tR6X,2021-12-18 09:56:56+00:00
47,@rizhendzherr Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. Entries clos… https://t.co/SuYJcJduo3,2021-12-18 09:56:46+00:00
48,@NfTonur Collect the entire set of Lazy Lions Collectible Cards to enter to win a Lazy Lions NFT. Entries close Tue… https://t.co/dnh9HPNuIh,2021-12-18 09:55:51+00:00
