,tweets,timestamps
0,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 0.0%)
Bored Ape YC: 48.99Ξ (📉 -1.41%)
VeeFriends: 8.852Ξ (📉 -1.54%)… https://t.co/LlWtepTulF",2021-12-18 20:55:26+00:00
1,"Meebit just listed under floor (-0.42 %)

💰: 2.78 Ξ
🎯: https://t.co/AdTuxa69He

#meebits #OpenSeaNFT #NFT #opensea",2021-12-18 20:44:48+00:00
2,meebits was the best nft,2021-12-18 20:15:01+00:00
3,"RT @truth: phase 1 has ended

hello phase 2 

https://t.co/1r1mIHxCiR

mayc, gcg, rtfkt, meebits, doodles, cryptoadz, metahero, ghxsts, hir…",2021-12-18 19:58:39+00:00
4,".@BitwiseInvest is launching a BlueChip NFT Index Fund. 
Good to see major projects in the pool

CryptoPunks… https://t.co/YZXoOAxbqS",2021-12-18 19:14:29+00:00
5,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 1.67%)
Bored Ape YC: 49.69Ξ (📉 -0.62%)
VeeFriends: 8.872Ξ (📉 -1.31%… https://t.co/TYx4V0pP8T",2021-12-18 18:55:24+00:00
6,"On the sixth day of Christmas my true love gave to me
Six crypto coven witches 
Five top shots
Four meebits
Three c… https://t.co/3XzR2Dimtv",2021-12-18 18:17:19+00:00
7,"On the fifth day of Christmas my true love gave to me
Five top shots
Four meebits
Three crypto punks
Two lazy lions
And a bored ape NFT",2021-12-18 18:16:41+00:00
8,"On the fourth day of Christmas my true love gave to me
Four meebits
Three crypto punks
Two lazy lions
And a bored ape NFT",2021-12-18 18:15:56+00:00
9,"以Zerion观察钱包给出的建议价格为例，今年买nft大概亏了$2M 😂😂😂

如果再给你一次机会，你会买什么nft。
eg：cryptopunks、sandbox land、loot、bayc、meebits、cyberkongz https://t.co/wj5okvQpOv",2021-12-18 18:04:03+00:00
10,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 48.99 Ξ
Cool Cats: 6.8 Ξ
Robotos: 0.45 Ξ
Doo… https://t.co/0Vles0qDF2",2021-12-18 18:03:07+00:00
11,"RT @mirsnft: Who's next? 👀

#CryptoPhunks #PhunkPham #Phunks #NFT #cryptopunks #meebits #CrypToadz https://t.co/HbwCx0zgxa",2021-12-18 17:56:10+00:00
12,"RT @chaindustry: Do you know Meebits NFT by @larvalabs 

The quoted tweet below will help you understand better. 

#CTBot Adrop RAM 0.5 TRX…",2021-12-18 17:47:16+00:00
13,RT @cripto_t: Bitwise presenta un fondo indexado a las 10 colecciones NFT más valiosas del mercado #NFT #bitwise #CryptoPunks #BAYC #Meebit…,2021-12-18 17:23:28+00:00
14,"Meebit just listed under floor (-0.7 %)

💰: 2.79 Ξ
🎯: https://t.co/5Y3wa6YAB7

#meebits #OpenSeaNFT #NFT #opensea",2021-12-18 17:15:47+00:00
15,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 0.08%)
Bored Ape YC: 49.69Ξ (📉 -0.62%)
VeeFriends: 8.892Ξ (📉 -1.09%… https://t.co/ViOEViQkZF",2021-12-18 16:55:23+00:00
16,#cryptopunks #crypto #ethereum #bitcoin #nft #nftart #cryptopunk #cryptoworld #cryptolife #cryptocollectible… https://t.co/ll8PD4u4PU,2021-12-18 16:55:03+00:00
17,Bitwise presenta un fondo indexado a las 10 colecciones NFT más valiosas del mercado #NFT #bitwise #CryptoPunks… https://t.co/Pc3iyjGPmb,2021-12-18 16:12:12+00:00
18,"RT @zombinomyNFT: 🙌#Zombinomy Team - @leokong330
 
💪Founder
🦍#BAYC, #MAYC, #meebits veteran
💙twitter newbie
🇭🇰based in HK
👨‍👩‍👧‍👦full-time…",2021-12-18 15:40:59+00:00
19,#nft #nftart #cryptopunk #cryptoworld #cryptolife #cryptocollectible #cryptocollective #blockchain #cryptogames… https://t.co/5hjD5N7qlT,2021-12-18 15:39:02+00:00
20,"RT @empachain: What is Meebits NFT? by @larvalabs

Read the thread to get acquainted👇👇

#CTBot Adrop RAM 0.5 TRX 40",2021-12-18 15:23:37+00:00
21,"RT @zombinomyNFT: 🙌#Zombinomy Team - @leokong330
 
💪Founder
🦍#BAYC, #MAYC, #meebits veteran
💙twitter newbie
🇭🇰based in HK
👨‍👩‍👧‍👦full-time…",2021-12-18 15:01:15+00:00
