,tweets,timestamps
0,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:59:12+00:00
1,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:54:20+00:00
2,"RT @pulsar5991: $MSU https://t.co/zZfWVzplez 

Friends, don't miss this great opportunity to become the owner of Youth Scout NFT

Become pa…",2021-12-18 20:47:25+00:00
3,"RT @pulsar5991: $MSU https://t.co/zZfWVzplez 

Friends, don't miss this great opportunity to become the owner of Youth Scout NFT

Become pa…",2021-12-18 20:44:48+00:00
4,"RT @pulsar5991: $MSU https://t.co/zZfWVzplez 

Friends, don't miss this great opportunity to become the owner of Youth Scout NFT

Become pa…",2021-12-18 20:44:19+00:00
5,"RT @pulsar5991: $MSU https://t.co/zZfWVzplez 

Friends, don't miss this great opportunity to become the owner of Youth Scout NFT

Become pa…",2021-12-18 20:44:01+00:00
6,"$MSU https://t.co/zZfWVzplez 

Friends, don't miss this great opportunity to become the owner of Youth Scout NFT

B… https://t.co/68rYl1Pi8Y",2021-12-18 20:40:26+00:00
7,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:31:24+00:00
8,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:24:18+00:00
9,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:16:11+00:00
10,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:14:20+00:00
11,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 20:10:52+00:00
12,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:58:02+00:00
13,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:55:21+00:00
14,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:54:38+00:00
15,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:42:25+00:00
16,"RT @luciano_eltirri: Get your rockets ready! 🚀 JUST LAUNCHED!!  #UniVerse where $UNIVerse #Metaverse is our goal.
@UniVerse_BSC is creating…",2021-12-18 19:41:31+00:00
17,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:37:56+00:00
18,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:17:40+00:00
19,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:16:57+00:00
20,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:11:43+00:00
21,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 19:09:57+00:00
22,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:57:33+00:00
23,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:57:20+00:00
24,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:49:51+00:00
25,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:38:12+00:00
26,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:37:58+00:00
27,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:33:13+00:00
28,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:32:07+00:00
29,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:29:02+00:00
30,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:24:16+00:00
31,"RT @gemuniofficial: 🔥Last day of Airdrop Round 2 to access in #GemUni beta test within 1 month
Better get fast to join now
💵: 2,000 Stone P…",2021-12-18 18:21:06+00:00
32,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:17:04+00:00
33,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:16:43+00:00
34,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:15:10+00:00
35,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:13:31+00:00
36,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:11:13+00:00
37,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:10:23+00:00
38,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:08:02+00:00
39,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:07:33+00:00
40,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:07:19+00:00
41,"RT @michellezjones: Get your rockets ready! 🚀 JUST LAUNCHED! #UniVerse where $UNIVerse #Metaverse is our goal.  
@UniVerse_BSC is creating…",2021-12-18 18:02:55+00:00
