,tweets,timestamps
0,"@AmeerHussainn That's what happens when you shill shitty projects to your followers and NFT owners. 
Luckily I didn… https://t.co/QATzffz0Pq",2021-12-08 02:32:55+00:00
1,"RT @LoganAtWork: My experience with a terrible #NFT/potentially a rug pull (@mutanthumanclub) (Pt 11)
- Mutant Human Club blocks me from th…",2021-12-07 15:06:28+00:00
2,"My experience with a terrible #NFT/potentially a rug pull (@mutanthumanclub) (Pt 11)
- Mutant Human Club blocks me… https://t.co/hHmDHwD8HI",2021-12-07 14:45:03+00:00
3,"RT @TehGILBERNATOR: 2x Mutant human club NFTs or 1x Ancient cats club NFT?? That’s my decider right now! 🤔
@mutanthumanclub @AncientCatsNFT",2021-12-06 05:30:40+00:00
4,"RT @TehGILBERNATOR: 2x Mutant human club NFTs or 1x Ancient cats club NFT?? That’s my decider right now! 🤔
@mutanthumanclub @AncientCatsNFT",2021-12-06 04:45:47+00:00
5,"RT @TehGILBERNATOR: 2x Mutant human club NFTs or 1x Ancient cats club NFT?? That’s my decider right now! 🤔
@mutanthumanclub @AncientCatsNFT",2021-12-06 04:44:54+00:00
6,"2x Mutant human club NFTs or 1x Ancient cats club NFT?? That’s my decider right now! 🤔
@mutanthumanclub @AncientCatsNFT",2021-12-06 04:37:53+00:00
7,"Who is minting a @mutanthumanclub today? Just 10 minutes left to public mint 

👑Name: Mutant Human Club
💎Supply: 6,… https://t.co/GaaTmWSWoa",2021-12-06 00:50:31+00:00
8,"@ElinaSvitolina Mutant human club is definitely a female led NFT project, with world famous artist who designed gre… https://t.co/Ch0TmdJHDV",2021-12-02 10:59:28+00:00
9,"Mutant humans next up. The art speaks for itself right? Coming up is the creation of the mutant human club DAO , nf… https://t.co/YZ4Rl4In8K",2021-12-01 17:41:37+00:00
10,@sabrinashedid عاش،  اقسم بالله مسدقت ان في سيدات اعمال بالنجاح دة، و كمان founder of an NFT project like Human Mutant Club.,2021-12-01 05:27:49+00:00
