,tweets,timestamps
0,"RT @superww886: We're giving away Neo Tokyo Identities NFT currently worth 30 eth  
😇😇😇😋😋😋
To enter: 
1. Like/Retweet
2. Must be following…",2021-12-18 20:27:49+00:00
1,"Metasaurs: 0.1 Ξ
Party Ape: 0.41 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.1… https://t.co/sWAATlyFf3",2021-12-18 18:03:17+00:00
2,Go claim store ownership at Mintable! https://t.co/PXHciNILsT,2021-12-18 15:01:43+00:00
3,Neo Tokyo Identities https://t.co/Jlvct4ryBt,2021-12-18 13:56:47+00:00
4,@themetroverse What started off as a normal meeting between Neo Tokyo Identities and Outer Citizens turned into a b… https://t.co/oTioJil7Hm,2021-12-18 13:29:22+00:00
5,Go claim store ownership at Mintable! https://t.co/G18HIWs6rK,2021-12-18 12:31:33+00:00
6,"Metasaurs: 0.1 Ξ
Party Ape: 0.43 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.1… https://t.co/HzjrPOKL14",2021-12-18 12:03:10+00:00
7,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-18 07:29:23+00:00
8,"Hourly Top Volume
CLONE X: Ξ46.27 ($180,178.16)
My Pet Hooligan: Ξ45.88 ($178,644.09)
PartyBear: Ξ33.93 ($132,108.7… https://t.co/7e8zeyy6oV",2021-12-18 07:00:03+00:00
9,"Metasaurs: 0.12 Ξ
Party Ape: 0.42 Ξ
HeadDAO: 0.11 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.… https://t.co/1t7wH8I3vA",2021-12-18 06:03:08+00:00
10,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-18 00:49:13+00:00
11,@tervelix @KumpirMafyas https://t.co/XFDzsEX71U,2021-12-17 23:30:49+00:00
12,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-17 21:58:43+00:00
13,"Metasaurs: 0.15 Ξ
Party Ape: 0.41 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.… https://t.co/TNtu3Vu7Bi",2021-12-17 18:03:28+00:00
14,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-17 17:30:41+00:00
15,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-17 14:45:52+00:00
16,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-17 12:49:05+00:00
17,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-17 12:49:00+00:00
18,"Metasaurs: 0.15 Ξ
Party Ape: 0.43 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.… https://t.co/511fcRIMpr",2021-12-17 12:03:13+00:00
