,tweets,timestamps
0,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:59:46+00:00
1,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/5rj3WN9w9k",2021-12-18 20:58:33+00:00
2,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/TPDUF7yTlm",2021-12-18 20:57:55+00:00
3,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:57:29+00:00
4,"great project
@kiencoin90 @tancongauto @LEDUYTRUNG4 @phamvan79515433 @Huong12737406 @namdinhvn
#justinsuntron… https://t.co/xWwSrosKpS",2021-12-18 20:57:21+00:00
5,"great project
@kiencoin90 @tancongauto @LEDUYTRUNG4 @phamvan79515433 @Huong12737406 @namdinhvn
#justinsuntron… https://t.co/ovqX6rcDhf",2021-12-18 20:56:40+00:00
6,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:56:14+00:00
7,"great project
@phamvan79515433 @kiencoin90 @namdinhvn @tancongauto @LEDUYTRUNG4
#justinsuntron #Tronfoundation… https://t.co/aGo5xjFl6c",2021-12-18 20:56:07+00:00
8,"great project
@phamvan79515433 @kiencoin90 @namdinhvn @tancongauto @LEDUYTRUNG4
#justinsuntron #Tronfoundation… https://t.co/aqLRlJBQxl",2021-12-18 20:55:23+00:00
9,"great project
@Nguynla13130381 @quynhtrang0411 @Crypto_Rehman @duymanh26618550 @trancongoir @Lamduy02846389… https://t.co/Y7Z1mv7Njl",2021-12-18 20:54:55+00:00
10,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:54:49+00:00
11,"great project
@Nguynla13130381 @quynhtrang0411 @Crypto_Rehman @duymanh26618550 @trancongoir @Lamduy02846389… https://t.co/6VasMpOImR",2021-12-18 20:54:09+00:00
12,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:53:43+00:00
13,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/57kRG9hHRJ",2021-12-18 20:52:58+00:00
14,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/QafejeyVXT",2021-12-18 20:52:20+00:00
15,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:51:53+00:00
16,"great project
@kiencoin90 @tancongauto @LEDUYTRUNG4 @phamvan79515433 @Huong12737406 @namdinhvn
#justinsuntron… https://t.co/wytRtmLxi7",2021-12-18 20:51:44+00:00
17,"great project
@kiencoin90 @tancongauto @LEDUYTRUNG4 @phamvan79515433 @Huong12737406 @namdinhvn
#justinsuntron… https://t.co/helrSHd96N",2021-12-18 20:51:03+00:00
18,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:50:37+00:00
19,"great project
@phamvan79515433 @kiencoin90 @namdinhvn @tancongauto @LEDUYTRUNG4
#justinsuntron #Tronfoundation… https://t.co/b6nr1Y1GP2",2021-12-18 20:49:09+00:00
20,"great project
@Nguynla13130381 @quynhtrang0411 @Crypto_Rehman @duymanh26618550 @trancongoir @Lamduy02846389… https://t.co/45BCbb9iHT",2021-12-18 20:48:52+00:00
21,"great project
@phamvan79515433 @kiencoin90 @namdinhvn @tancongauto @LEDUYTRUNG4
#justinsuntron #Tronfoundation… https://t.co/axrkesVw93",2021-12-18 20:48:25+00:00
22,"great project
@Nguynla13130381 @quynhtrang0411 @Crypto_Rehman @duymanh26618550 @trancongoir @Lamduy02846389… https://t.co/RMP75tfdTo",2021-12-18 20:48:06+00:00
23,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:47:51+00:00
24,"RT @WINNFTHORSE: 📢WIN NFT HORSE game features new upgraded

01 Horse breeding function is onlive now, including 🐴legendary horses! Some bug…",2021-12-18 20:47:40+00:00
25,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/iVb2mex61W",2021-12-18 20:47:23+00:00
26,"great project
@Lamduy02846389 @quynhtrang0411 @Nguynla13130381 @duymanh26618550 @trancongoir
#justinsuntron… https://t.co/fvEJ1e5A77",2021-12-18 20:46:45+00:00
