,tweets,timestamps
0,"12/
Royal Society of Players: 0.079Ξ (📉 -1.25%)
Swampverse: 0.188Ξ (📈 45.74%)
ThorGuards: 0.125Ξ (📈 13.64%)
Zunks:… https://t.co/N7dQRZlIsD",2021-12-18 20:55:28+00:00
1,So this is where you're hiding your Pepsi NFT 🥂 Niceeee 🤩 Pepsi Mic Drop NFT current floor price is at 0.69 ETH 🥳 F… https://t.co/eh2cxug05y,2021-12-18 20:40:13+00:00
2,"I'm liking the Pepsi mic drop NFT as a long term investment.

If you believe in the space as a whole, then you shou… https://t.co/hDNch798GU",2021-12-18 19:33:50+00:00
3,"12/
Crypto Cannabis Club: 0.13Ξ (📈 0.0%)
Royal Society of Players: 0.079Ξ (📉 -1.25%)
Swampverse: 0.188Ξ (📈 45.74%)… https://t.co/1zIvqp61SL",2021-12-18 18:55:27+00:00
4,"@pepsi https://t.co/pxcJzEe0Gy 

Pepsi &amp; music have been intertwined for decades, and our genesis NFT collection pa… https://t.co/fQtXd9v2nT",2021-12-18 17:24:32+00:00
5,"@Cashtronaut1 @adidasoriginals ... and historic value ... even without utility, if we believe that nfts are the fut… https://t.co/HLnHgVG8n8",2021-12-18 17:13:19+00:00
6,"12/
Swampverse: 0.187Ξ (📈 44.96%)
Zunks: 0.105Ξ (📉 -11.76%)
ThorGuards: 0.125Ξ (📈 13.64%)
Gutter Rats: 0.488Ξ (📉 -4… https://t.co/2zLyzsZF5Z",2021-12-18 16:55:26+00:00
7,@ZemWhat @adidasoriginals Pepsi drop a mic nft collection you should look it up,2021-12-18 16:54:33+00:00
8,"🚨 ""Pepsi Mic Drop #116"" was sold for 7.7 ETH ($30,413).

9x the average price of ""Pepsi Mic Drop"" today | #NFT
https://t.co/f5QrY7vxin",2021-12-18 16:20:53+00:00
9,RT @kriptorezerv: ⚡️The #Mic #Drop #Pepsi #NFT koleksiyonundan 1893 adet olacak ve NFT'ler ücretsiz olacak.Waitlist yarın resmi Pepsi Twitt…,2021-12-18 16:13:29+00:00
10,"RT @psvit: @fofo47163347 เห็นด้วยครับยังนึกไม่ออกเหมือนกัน เพราะตลาดยังเล็กมากๆด้วย 

แต่บริษัทที่มีแมสมากๆอยู่แล้ว อย่าง Pepsi ยังเข้ามาแบ…",2021-12-18 15:48:25+00:00
11,#RarityBar #pepsimicdrop #NFT #crypto #nftart #nftcommunity https://t.co/rnO1w2rHrC,2021-12-18 15:24:30+00:00
12,"RT @HyperGrowthOn: Pepsi Introduces the Company’s First NFT Collection

@Pepsi introduced the “Pepsi Mic Drop” genesis #NFT collection on T…",2021-12-18 15:09:24+00:00
13,"12/
Swampverse: 0.179Ξ (📈 24.31%)
Zunks: 0.105Ξ (📉 -11.76%)
ThorGuards: 0.125Ξ (📈 13.64%)
Gutter Rats: 0.488Ξ (📉 -6… https://t.co/uveKWRoeDj",2021-12-18 14:55:28+00:00
14,"RT @CryptoTimes_io: Pepsi Mic Drop is ranked 5th in the list as per @raritytools with the last 7 days trading volume of 1,539 #ETH.

#PEPSI…",2021-12-18 13:55:55+00:00
15,"RT @MithunWijethung: #PepsiMicDrop #NFTGiveaway #PepsiHitSaSarap
""Consumers should stay tuned as the 50 remaining NFTs will be held for oth…",2021-12-18 13:23:36+00:00
16,"RT @MithunWijethung: #PepsiMicDrop #NFTGiveaway #PepsiHitSaSarap
""Consumers should stay tuned as the 50 remaining NFTs will be held for oth…",2021-12-18 13:14:12+00:00
17,"🚨 ""Pepsi Mic Drop #957"" was sold for 5.4125 ETH ($21,429).

8x the average price of ""Pepsi Mic Drop"" today | #NFT
https://t.co/remaNFXBjo",2021-12-18 13:08:17+00:00
18,"12/
Swampverse: 0.179Ξ (📈 27.86%)
Zunks: 0.105Ξ (📉 -12.5%)
Gutter Rats: 0.488Ξ (📉 -6.15%)
ThorGuards: 0.125Ξ (📈 13.… https://t.co/fzNtZh8ULJ",2021-12-18 12:55:30+00:00
19,"Is there any roadmap or future for. Pepsi mic drop NFT? The lack of information is concerning. @pepsi @PepsiCo

#PepsiMicDrop
#nft
#pepsi",2021-12-18 12:45:20+00:00
20,"NFT Name: Pepsi Mic Drop #1545 
Ether price: 6.64 Ether 
Estimated USD Price: $26288.89
Etherscan:… https://t.co/vWMdrc5dOX",2021-12-18 12:36:13+00:00
21,"🚨 ""Pepsi Mic Drop #1545"" was sold for 6.6433 ETH ($26,302).

11x the average price of ""Pepsi Mic Drop"" today | #NFT
https://t.co/HhqIoR2FrV",2021-12-18 12:34:27+00:00
22,"Pepsi Mic Drop is ranked 5th in the list as per @raritytools with the last 7 days trading volume of 1,539 #ETH.… https://t.co/li8CvLZDP4",2021-12-18 12:12:51+00:00
