,tweets,timestamps
0,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 18:32:49+00:00
1,"@SlotieNft  #SlotieNFT #Slotie #NFT 
Bet number 8",2021-12-20 18:29:29+00:00
2,"#SlotieNFT #Slotie #NFT 
Bet number 8",2021-12-20 18:28:14+00:00
3,Slotie #4886 - Slotie NFT | OpenSea https://t.co/ktBaaU4Qpb,2021-12-20 18:06:33+00:00
4,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 18:05:44+00:00
5,@SlotieNft IS THIS A FAKE SLOTIE ACCOUNT https://t.co/VyhRQBMTTY,2021-12-20 17:08:11+00:00
6,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 16:25:49+00:00
7,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 16:09:31+00:00
8,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 16:06:21+00:00
9,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:59:45+00:00
10,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:51:37+00:00
11,@Rodrigomen2k @RaritySniperNFT @rollbitcom Slotie NFT’s @SlotieNft art and passive income earnings poops on rollbot… https://t.co/avE7cMfDNd,2021-12-20 15:43:31+00:00
12,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:24:24+00:00
13,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:17:59+00:00
14,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:05:30+00:00
15,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 15:02:50+00:00
16,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:50:10+00:00
17,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:41:33+00:00
18,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:23:01+00:00
19,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:22:53+00:00
20,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:15:13+00:00
21,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:14:31+00:00
22,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 14:12:31+00:00
23,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:56:12+00:00
24,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:51:26+00:00
25,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:47:52+00:00
26,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:44:45+00:00
27,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:39:38+00:00
28,"Is @slotie_nft the most advanced utility #NFT on the market? Hit the link in our bio to read more… @ London, United… https://t.co/7pmZogN8lw",2021-12-20 13:37:54+00:00
29,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:36:33+00:00
30,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:36:11+00:00
31,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:36:04+00:00
32,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:27:03+00:00
33,"@SlotieNft

🔥First to bring DeFi ecosystem to online gambling
🎰 Slotie Game in 150 online casinos Q1 2022
💎Exclusiv… https://t.co/TKxXP4UC3G",2021-12-20 13:25:39+00:00
34,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:21:54+00:00
35,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:18:39+00:00
36,"#slotienft #nft #nftdeutsch Floor Preis von SLOTIE ist aktuell bei 0,48 - ehrlich gesagt hatte ich mehr erwartet ab… https://t.co/fKarliHdmI",2021-12-20 13:15:35+00:00
37,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:13:06+00:00
38,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:12:27+00:00
39,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:11:08+00:00
40,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 13:10:49+00:00
41,"Is @SlotieNft the most advanced utility NFT on the market? #NFT

https://t.co/XNZHn06Ggd",2021-12-20 13:02:40+00:00
42,"RT @CallumMelly: If you haven’t already, please check out &amp; follow my news blog @BitGoss where you can stay up to date with the latest CRYP…",2021-12-20 13:01:43+00:00
43,"If you haven’t already, please check out &amp; follow my news blog @BitGoss where you can stay up to date with the late… https://t.co/vRznOBywb5",2021-12-20 13:01:02+00:00
44,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 12:48:55+00:00
45,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 12:48:06+00:00
46,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 SLOTIE #NFTs ~ 1 DAY
 (Worth 0.5 ETH / $2000 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-20 12:47:41+00:00
