,tweets,timestamps
0,"The Doge Pound: 1.69 Ξ
World of Women: 1.85 Ξ
CyberKongz VX: 1.04 Ξ
Hashmasks: 0.72 Ξ
Gutter Rats: 0.55 Ξ
Treeverse… https://t.co/EPif14TFyZ",2021-12-18 18:03:12+00:00
1,"The Doge Pound: 1.68 Ξ
World of Women: 1.85 Ξ
CyberKongz VX: 1.09 Ξ
Hashmasks: 0.72 Ξ
Gutter Rats: 0.49 Ξ
Treeverse… https://t.co/Zx4WOR8IHZ",2021-12-18 12:03:06+00:00
2,"The Doge Pound: 1.69 Ξ
World of Women: 1.85 Ξ
CyberKongz VX: 175.0 Ξ
Hashmasks: 0.72 Ξ
Gutter Rats: 0.49 Ξ
Treevers… https://t.co/zTuc3IoiTZ",2021-12-18 06:03:04+00:00
3,RT @TheDogePoundNFT: Our OG NFT and brand will always remain as The Doge Pound NFT but our branding over the next 1-2 months will change to…,2021-12-17 20:53:01+00:00
4,"The Doge Pound: 1.79 Ξ
World of Women: 1.85 Ξ
CyberKongz VX: 175.0 Ξ
Hashmasks: 0.72 Ξ
Gutter Rats: 0.49 Ξ
Treevers… https://t.co/jTuXHR6wzz",2021-12-17 18:03:23+00:00
5,@TheDogePoundNFT @Coinbase_NFT AWWOOOOOO @Coinbase_NFT could use the doge pound community,2021-12-17 16:22:28+00:00
6,"@TheDogePoundNFT the doge pound is about to get a lot bigger
 #nft #secretsanta",2021-12-17 14:21:19+00:00
7,"The Doge Pound: 1.79 Ξ
World of Women: 1.85 Ξ
CyberKongz VX: 175.0 Ξ
Hashmasks: 0.7 Ξ
Gutter Rats: 0.52 Ξ
Treeverse… https://t.co/YgnbAoMBuJ",2021-12-17 12:03:08+00:00
8,"The Doge Pound: 1.8 Ξ
World of Women: 1.83 Ξ
CyberKongz VX: 175.0 Ξ
Hashmasks: 0.7 Ξ
Gutter Rats: 0.54 Ξ
Treeverse:… https://t.co/b3eaGjrgby",2021-12-17 06:03:15+00:00
9,"Why do you think Doge NFT keeps going down?

The Doge Pound - Trading Price Analysis 
Recent Avg Trading Price: 1.8… https://t.co/ytrUjjphzO",2021-12-17 00:44:27+00:00
