,tweets,timestamps
0,RT @DuchessBetsy: @DCLBlogger Legit the only reason I wanted to launch an NFT is because of the long-term value. It’s a way to build a crea…,2021-12-18 20:52:54+00:00
1,"RT @sandvegascasino: For our upcoming SandVegasCasino we need special assets like tables, slots machines etc. to be created.

After creatin…",2021-12-18 20:47:50+00:00
2,"@RichApes_NFT @NekoNFT It's in the works, sandbox dev said vx were well made",2021-12-18 20:44:10+00:00
3,"RT @sandvegascasino: The House always wins 💰

With our upcoming NFT launch in late December / early January YOU can BE THE HOUSE 💸

#Sandbo…",2021-12-18 20:43:46+00:00
4,"RT @NFTNinjaas: Giving away 0.1 ETH ($400)

Partnered with @metahamsters 
They have bought Land in the Sandbox already 

To enter 
- Follow…",2021-12-18 20:43:25+00:00
5,"RT @TheSandboxGame: 🌈 Minto (Quan), the popular Japanese messenger sticker characters are back with a new collection of #NFTs on the Market…",2021-12-18 20:40:33+00:00
6,"RT @TheSandboxGame: 👕 @Uniqly_io has become a #TheSandbox Premium Partner! 

Uniqly has built a bridge between physical products and metave…",2021-12-18 20:39:51+00:00
7,@DCLBlogger Legit the only reason I wanted to launch an NFT is because of the long-term value. It’s a way to build… https://t.co/IjJ8WPhlcE,2021-12-18 20:34:42+00:00
8,"RT @NFTNinjaas: Giving away 0.1 ETH ($400)

Partnered with @metahamsters 
They have bought Land in the Sandbox already 

To enter 
- Follow…",2021-12-18 20:31:38+00:00
9,"RT @yyh0640: The top five NFT tokens with current market capitalization related to Meta Universe are: Axie Infinity (US$5.87 billion), Dece…",2021-12-18 20:28:38+00:00
10,@BSClaunchorg @tribe_land Tribeland plans to be the most played NFT P2E game in 4 years.  How do you plan to compet… https://t.co/zKEx07gnLv,2021-12-18 20:28:22+00:00
11,"RT @TheSandboxGame: Get ready for The Sandbox Alpha!
📅 Launching November 29th
🌍 Anyone can experience the Alpha hub and three experiences…",2021-12-18 20:28:07+00:00
12,"RT @PiratesWorldNFT: and (-125, -54).

All this will be released close to the release date of the game, where we hope to further enhance th…",2021-12-18 20:25:38+00:00
13,"RT @PiratesWorldNFT: 🔥🔥🔥Pirates look what's coming for the metaverse the sandbox, work of the team Meta 17:17 

What do you think?

#RGOLD…",2021-12-18 20:25:03+00:00
