,tweets,timestamps
0,RT @NFTNewsToday: Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! - AppCraver https://t.co/lCfG4626Mh #NFTCommunity #NFT #NF…,2021-12-20 18:47:32+00:00
1,@EricDresdale @knightsofdegen @truth @EthereumHomies @thingdoms @crypto_coven @mr_uncommon_nft Get some #AirBlocks… https://t.co/tphZkT1fIU,2021-12-20 17:57:31+00:00
2,I love the vibes of the @knightsofdegen @truth @EthereumHomies and @thingdoms communities. I love the spiritual asp… https://t.co/Gl6D4Gfy9l,2021-12-20 17:42:38+00:00
3,@MacUhtack @thingdoms @ringring_nft @kanyewei @gigas_77,2021-12-20 17:20:26+00:00
4,@DanIntern @bubblegumkids_ @LazyLionsNFT @metab_nft @thingdoms We’re the winners announced?,2021-12-20 17:11:17+00:00
5,"@ishverduzco @thingdoms 

A lil wild the high I got after purchasing one. The emotional feel you get towards an NFT… https://t.co/Vd7S32ybOe",2021-12-20 15:49:04+00:00
6,"RT @JuanMertune: I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #9318 &amp;…",2021-12-20 15:42:57+00:00
7,"RT @JuanMertune: I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #9318 &amp;…",2021-12-20 15:39:33+00:00
8,"@SheldonEvans @metab_nft
@mypethooligan
@SlotieNft
@thingdoms
@propertys_nft
@bricktopians
@SquishySquadNFT… https://t.co/WvfyyMY0cb",2021-12-20 14:33:42+00:00
9,"RT @JuanMertune: I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #9318 &amp;…",2021-12-20 14:32:06+00:00
10,"RT @JuanMertune: I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #9318 &amp;…",2021-12-20 14:11:55+00:00
11,"RT @JuanMertune: I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #9318 &amp;…",2021-12-20 13:59:25+00:00
12,@thingdoms #nft #NFTs #NFTCommunity #spellcaster #Vampire https://t.co/Zers35R2I0,2021-12-20 13:37:14+00:00
13,"@zumbido_nft @thingdoms Wow, love it— nice thing!! Geaux Tigers 😤",2021-12-20 13:35:47+00:00
14,"I like to keep Things minimal &amp; clean. 
Loving @thingdoms artwork, it stands out in a crowded space. Say hello to #… https://t.co/CHl0aU9U5b",2021-12-20 13:15:08+00:00
15,"@dany21_nft @thingdoms !floor

The only floor is the dance floor",2021-12-20 12:15:52+00:00
16,@anthony_ranaudo @thingdoms Oooo! Nice #NFTs !  @anthony_ranaudo with some great taste! We'll be glad to help! As a… https://t.co/AXXLMdemo1,2021-12-20 12:13:18+00:00
17,"RT @nftgamingturkey: Günlük Trade Hacmine Göre En Yüksek 10 #NFT Projesi

@adidasoriginals @RTFKTstudios @mypethooligan #Terraforms @thingd…",2021-12-20 11:31:05+00:00
18,"RT @nftgamingturkey: Günlük Trade Hacmine Göre En Yüksek 10 #NFT Projesi

@adidasoriginals @RTFKTstudios @mypethooligan #Terraforms @thingd…",2021-12-20 11:28:52+00:00
19,"RT @PRINTMYMINT: Alright my euro peeps!

Giving away one @thingdoms NFT to one lucky winner ✨ 

1. Follow @LuckyTagsArmada 

2. Join discor…",2021-12-20 11:28:44+00:00
20,"Günlük Trade Hacmine Göre En Yüksek 10 #NFT Projesi

@adidasoriginals @RTFKTstudios @mypethooligan #Terraforms… https://t.co/kzgyWYdzER",2021-12-20 11:06:43+00:00
21,Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! – AppCraver | NFTRADIUS https://t.co/jvsxLmuksj,2021-12-20 08:59:30+00:00
22,@psychedelic_nft @BAYC2745 @RaoulGMI @thingdoms @dogewoodnft @FurballsNFT,2021-12-20 07:42:26+00:00
23,@T__NFT @thingdoms Absolutely in love with your 1/1 fam! Great cop ❤️💯,2021-12-20 07:39:58+00:00
24,"@DiscoverXnft Ask for a receipt 
@SuperlativeApes #SLAPES 
@thingdoms #thingsdom
#NFT #nfts https://t.co/g4UCUPpJ2k",2021-12-20 07:27:58+00:00
25,@T__NFT @FanboyEthereum @thingdoms gets me feeln ❤️💜 everytime,2021-12-20 07:09:04+00:00
26,@theYEZZIR @TheMooseMafia @angryboars @noundles @Loopy_Donuts @thingdoms @WCEBusSense @helldackel @liz__0944… https://t.co/tQ7E7PIreJ,2021-12-20 07:03:23+00:00
27,"RT @Krip50x: New pickups through the week, projects I believe in and also doubling down on the nft communities I like 💣
(not pictured the @…",2021-12-20 06:34:43+00:00
28,"So just aped into a @thingdoms NFT .. 

Here is thing #8107

To me he looks like an insomniac Vampire.. what are yo… https://t.co/MEMp13WM4e",2021-12-20 06:30:59+00:00
29,"🐳 Top Whale BUYS🟢 (Last hour):

Asemica by Emily Edelman - Dima Ofman - Andrew Badr: 4 (avg: 0.4 Ξ)
Thingdoms: 2 (a… https://t.co/lZ13vBHmmL",2021-12-20 06:02:02+00:00
30,@T__NFT @thingdoms This cannot be achieved ser,2021-12-20 05:32:18+00:00
31,"New pickups through the week, projects I believe in and also doubling down on the nft communities I like 💣
(not pic… https://t.co/ETIckfljyw",2021-12-20 04:33:54+00:00
32,@T__NFT @thingdoms 🚀 🚀,2021-12-20 03:41:39+00:00
33,"RT @kevinestevezeth: Made a few @thingdoms phone wallpapers for community members, here’s a few I made. 
Retweet, and I’ll pick a bunch mor…",2021-12-20 03:26:40+00:00
34,@waxy_nft @thingdoms @lukeabc Dope thingsssss,2021-12-20 03:21:09+00:00
35,@T__NFT @lukeabc @thingdoms Thank@you 😁😁,2021-12-20 03:20:42+00:00
36,@skrari4 @thingdoms Thanks didn’t see it on the NFT details,2021-12-20 02:44:44+00:00
37,@sneezzaa @T__NFT @thingdoms https://t.co/tKqAFm76uX,2021-12-20 02:27:38+00:00
38,@supduck6010 @T__NFT @thingdoms Aye you da real MVP https://t.co/pWo8SeGm2Z,2021-12-20 02:24:40+00:00
39,"RT @nftwhalealert: Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks: 26
P…",2021-12-20 02:23:46+00:00
40,i think thingdoms are going to go crazy soon any nft that gets verified fast af on OS always make my balls tingle,2021-12-20 02:22:40+00:00
41,@sneezzaa @T__NFT @thingdoms 667,2021-12-20 02:18:09+00:00
42,@sneezzaa @T__NFT @thingdoms I got you https://t.co/CYWT2rJyyV,2021-12-20 02:15:50+00:00
43,"RT @nftwhalealert: Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks: 26
P…",2021-12-20 02:14:34+00:00
44,"RT @nftwhalealert: Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks: 26
P…",2021-12-20 02:14:28+00:00
45,"RT @nftwhalealert: Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks: 26
P…",2021-12-20 02:14:08+00:00
46,"RT @AnarothsNFT: Tomorrow looking like a great #NFT day

@CryptoDadsNFT RoadMap 2.0 Visual
@GutterCatGang TownHall &amp; $GANG
@MetaWalkers Pos…",2021-12-20 02:06:50+00:00
47,"RT @nftwhalealert: Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks: 26
P…",2021-12-20 02:04:40+00:00
48,@NFT881 @beta_nft @thingdoms 💯,2021-12-20 02:03:32+00:00
49,@beta_nft @NFT881 @thingdoms your Things! nice collection for sure,2021-12-20 02:03:19+00:00
50,"Hourly Top Sales
DinoBabies: 116
Superlative Apes: 58
Coolman's Universe: 39
Creature World NFT: 29
ExpansionPunks:… https://t.co/Dd0H7vpU3n",2021-12-20 02:00:08+00:00
51,@beta_nft @wanzreadsall @thingdoms I love those square eyes😍,2021-12-20 01:58:35+00:00
52,"NFT news.

Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! - AppCraver 

 https://t.co/NPcnVYRReA

#NFT #BTC #bitcoin #money",2021-12-20 01:12:31+00:00
53,Cleaning the house and listening to @thingdoms. Who else listening in?? You don't have to have Thing to join the di… https://t.co/h35tgQjncJ,2021-12-20 00:11:50+00:00
54,"Some of my latest NFT adds:

@TheWildBunchNFT x5
@dinobabiesNFT x2
@CryptoZunks x2
@Cool_Dogs_ x2
@super_yeti x2… https://t.co/0W9ndpYdDa",2021-12-20 00:04:27+00:00
55,@NFTeknicology @thingdoms You pay a gas fee the first time you list any nft. Decided to go for it this morning while gas was low,2021-12-19 23:41:09+00:00
56,"In January, I hadn’t heard of an NFT. Today, I have a @thingdoms pfp and ~14 billion NFTs have swapped on Opensea t… https://t.co/g71Ro8az1D",2021-12-19 23:13:50+00:00
57,@MacUhtack @thingdoms @Thesoftestrock1 @UncutVeggie @moms_nft,2021-12-19 22:33:05+00:00
58,"RT @Ayazzcelen: We all know how the world of the metaverse has developed, if you haven't gotten on this train, don't be late and join us no…",2021-12-19 22:00:50+00:00
59,@MacUhtack @thingdoms @MintJuicestl @dom_nft,2021-12-19 21:58:51+00:00
60,@MacUhtack @thingdoms @gaborgyborg @WhosNFT @goku_nft,2021-12-19 21:22:16+00:00
61,@MacUhtack @thingdoms @kyro_nft @JegzNft @fhourze @Hampiiiiii @_nftLinx,2021-12-19 21:17:19+00:00
62,@MacUhtack @nft_simon @thingdoms I think I will love it yes. &lt;3 @bigdragonsin @GeeRocks72 @gecko_shibe ps: already kinda lowkey do,2021-12-19 21:04:52+00:00
63,@MacUhtack @thingdoms @alec_mog @Loyalty7_nft,2021-12-19 21:01:47+00:00
64,@MacUhtack @thingdoms @Tonje_nft @thekvern @espenaak,2021-12-19 20:54:30+00:00
65,@Cryptoon_Goonz taking care of the holders with these merch prices.  Not to mention they are absolute 🔥🔥… https://t.co/sV6IAklSoO,2021-12-19 20:53:42+00:00
66,@MacUhtack @thingdoms Join the nft hype train with me! @OnurArdal @pandorawleia @ardalieda,2021-12-19 20:48:34+00:00
67,"RT @Ayazzcelen: We all know how the world of the metaverse has developed, if you haven't gotten on this train, don't be late and join us no…",2021-12-19 20:48:01+00:00
68,@T__NFT @thingdoms we are getting somewhere!,2021-12-19 20:23:42+00:00
69,@thingdoms @T__NFT https://t.co/ad3NVSGAYU,2021-12-19 20:20:48+00:00
70,"@T__NFT @thingdoms LOL never noticed. Now, I'm wondering if they have legs.",2021-12-19 20:20:03+00:00
71,"@thingdoms @T__NFT So if it rains, they grow arms? Are they plant based?",2021-12-19 20:15:51+00:00
72,"We all know how the world of the metaverse has developed, if you haven't gotten on this train, don't be late and jo… https://t.co/xbtdq7gzR3",2021-12-19 19:50:45+00:00
73,@ToyBoogers @Jns_NFT @Cave_of_Plato @GoOfficeNinja @coolcatsnft @LittlelemonsNFT @creatureNFT @Deadfellaznft… https://t.co/cKvse5322H,2021-12-19 19:36:34+00:00
74,Today I enter the @thingdoms community! Proud to be a new member. Granboi rockin’ the white hair and listening to j… https://t.co/JvJtCIF6o3,2021-12-19 19:17:20+00:00
75,@MacUhtack @thingdoms Let's go! @Kaylebmoks @danaleelo_nft @darwangNFT,2021-12-19 19:16:30+00:00
76,@MacUhtack @thingdoms @Bembo_nft @Snorl4xx_nft @VaticanPredator,2021-12-19 19:13:50+00:00
77,"Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything !
https://t.co/ToLcJHDhOz
#NFTs https://t.co/pNicecPs9H",2021-12-19 19:12:01+00:00
78,@MacUhtack @thingdoms @CrombeMichael @savvy_nft @NFTgrlfriend,2021-12-19 19:04:51+00:00
79,Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! - AppCraver https://t.co/lCfG4626Mh #NFTCommunity #NFT #NFTS,2021-12-19 18:46:35+00:00
80,#NFT Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! - AppCraver: Thingdoms NFT Collectibles » Price… https://t.co/yrN03eEOI1,2021-12-19 18:46:35+00:00
81,Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything !  AppCraver https://t.co/PJfyN5LAfU #NftNews #NFT #NFTs,2021-12-19 18:46:33+00:00
82,Thingdoms NFT Collectibles » Price &amp; Stats # Know Everything ! - AppCraver https://t.co/3sp9n8NJ27,2021-12-19 18:46:33+00:00
83,"RT @AnarothsNFT: Tomorrow looking like a great #NFT day

@CryptoDadsNFT RoadMap 2.0 Visual
@GutterCatGang TownHall &amp; $GANG
@MetaWalkers Pos…",2021-12-19 18:16:36+00:00
84,@MacUhtack @thingdoms @nft_and_coffee @GirlWhoShivers,2021-12-19 17:29:44+00:00
85,@SalvMun @emotional_nft @thingdoms Thingdoms are fire. Check em out,2021-12-19 16:57:46+00:00
86,@thingdoms @T__NFT 👑,2021-12-19 16:35:33+00:00
87,"@Hydraze420 Gotta be @thingdoms  Community is tight, Team is working hard cultivating a following and future utilit… https://t.co/R2P2boPPlL",2021-12-19 16:11:05+00:00
88,@CYB3RPYR0 @emotional_nft @thingdoms This looks great🔥,2021-12-19 15:55:45+00:00
89,$NFTART #EnterArmy #ENTERART #NFTART #EnterShillGang #NFTS #EnterNFT #CRYPTO #nftcollector #NFTs  #Binance #DeFi… https://t.co/WbkZbb1UBZ,2021-12-19 15:37:28+00:00
90,@thingdoms a percentage of our project's sales goes to the BJC cancer department in STL❤Give us a follow and join o… https://t.co/MQsjEOaugQ,2021-12-19 15:24:56+00:00
91,"@MacUhtack @thingdoms Good luck everyone! 🙂
@danaleelo_nft @Jahstler @CrabbyFeez",2021-12-19 15:14:05+00:00
92,@R0binGokhshtein @CASEYKCMOETH #NFT (@thingdoms are the best right now),2021-12-19 15:02:24+00:00
93,@zumbido_nft @thingdoms Thx fren😀,2021-12-19 14:54:16+00:00
94,@seph_nft @thingdoms Thing king,2021-12-19 14:54:09+00:00
95,"RT @WoodWalkerX: @theYEZZIR @TheMooseMafia @angryboars @noundles @Loopy_Donuts @thingdoms @angryboars of course!

#boargang #angryboars #nf…",2021-12-19 14:42:45+00:00
96,@thingdoms Discover the Wild Club NFT collection🚀🚀🚀Collect yourself our wild collection available now… https://t.co/o3Rhgoy47d,2021-12-19 14:40:26+00:00
97,@thingdoms @JuanTelo7 Discover the Wild Club NFT collection. Collect yourself our wild collection available now… https://t.co/9S3rtD5Goi,2021-12-19 14:39:21+00:00
98,RT @thingdoms: @goodygood1222 @T__NFT https://t.co/4y3U0khn5l,2021-12-19 14:31:56+00:00
99,"@MacUhtack @thingdoms @mevlut_u77
@HansNapf
@ZeusDazzler
Nice character

Thanks for giveaway, hope to be a part of you.
 #NFT #Giveaway",2021-12-19 14:24:53+00:00
