,tweets,timestamps
0,RT @realDadCaptain: Thinking of making a #NFT collection of my 3 yr old daughter’s #art what do you think? @DapperDinoNFT @tentaverseNFT @G…,2021-12-18 20:58:37+00:00
1,"RT @realDadCaptain: 3 yr old daughter just making a #nft nothing to see here, move along. @DapperDinoNFT @tentaverseNFT @veefriends @garyve…",2021-12-18 20:56:07+00:00
2,"Daily floor price update

Cryptopunks: 61.0Ξ (📈 0.0%)
Bored Ape YC: 48.99Ξ (📉 -1.41%)
VeeFriends: 8.852Ξ (📉 -1.54%)… https://t.co/LlWtepTulF",2021-12-18 20:55:26+00:00
3,"3 yr old daughter just making a #nft nothing to see here, move along. @DapperDinoNFT @tentaverseNFT @veefriends… https://t.co/DAN8x5jp0p",2021-12-18 20:55:06+00:00
4,"RT @LioneDarne: 😇 NFT Christmas Giveaway 😇

I am giving away an amazing 
@veefriends

The value of 9.39 eth ($37561)

 VeeFriends NFT #Give…",2021-12-18 20:54:16+00:00
5,"RT @LioneDarne: 😇 NFT Christmas Giveaway 😇

I am giving away an amazing 
@veefriends

The value of 9.39 eth ($37561)

 VeeFriends NFT #Give…",2021-12-18 20:50:47+00:00
6,"RT @LioneDarne: 😇 NFT Christmas Giveaway 😇

I am giving away an amazing 
@veefriends

The value of 9.39 eth ($37561)

 VeeFriends NFT #Give…",2021-12-18 20:50:21+00:00
7,"RT @LioneDarne: 😇 NFT Christmas Giveaway 😇

I am giving away an amazing 
@veefriends

The value of 9.39 eth ($37561)

 VeeFriends NFT #Give…",2021-12-18 20:49:49+00:00
8,RT @NftXmas: 🎨 NFT Art: Veefriends + NFT Xmas | Discussing Art https://t.co/9Xq31AFzXS,2021-12-18 20:45:20+00:00
9,RT @realDadCaptain: Thinking of making a #NFT collection of my 3 yr old daughter’s #art what do you think? @DapperDinoNFT @tentaverseNFT @G…,2021-12-18 20:41:50+00:00
10,Thinking of making a #NFT collection of my 3 yr old daughter’s #art what do you think? @DapperDinoNFT… https://t.co/u5Y5QGfrN8,2021-12-18 20:41:20+00:00
11,@garyvee @veefriends @garyvee  - Always humble always positive - Veefriends  floor prices are extremely high with n… https://t.co/Q4Xa8CV87x,2021-12-18 20:34:19+00:00
12,RT @cryptoguyuk2: @garyvee @veefriends #ULTIMOGG to release the first #UTILITY product of its ecosystem powered #ULTGG #CRYPTO - BETA #stre…,2021-12-18 20:33:34+00:00
13,RT @spezoinks: @JollyElves @ToysForTots_USA I'm proud to be an owner but better yet a giver this holiday by choosing an #NFT project that g…,2021-12-18 20:31:58+00:00
14,@garyvee @veefriends #ULTIMOGG to release the first #UTILITY product of its ecosystem powered #ULTGG #CRYPTO - BETA… https://t.co/AVBcdw71Mr,2021-12-18 20:27:53+00:00
15,@BravoBravo_NFT @veefriends @AnwarCarrots Lucky!!!,2021-12-18 20:27:11+00:00
16,"I missed out on book games... Can I ""get in to"" the game if I buy a book NFT on secondary market after they drop?… https://t.co/qzQZ4a6pod",2021-12-18 20:22:03+00:00
17,"Have just discovered this world and these @veefriends people seem very kind, caring and loving people. Hopefully I… https://t.co/kzq7lk1Cgp",2021-12-18 20:18:21+00:00
18,@garyvee @veefriends I like this a lot bought crypto in januari and now learning about nft and lots of other thing… https://t.co/NLpm32TG7W,2021-12-18 20:17:49+00:00
19,"RT @LioneDarne: 😇 NFT Christmas Giveaway 😇

I am giving away an amazing 
@veefriends

The value of 9.39 eth ($37561)

 VeeFriends NFT #Give…",2021-12-18 20:15:02+00:00
