,tweets,timestamps
0,@realposthumans Wild Ape Gang &amp; Werewolf Pack NFT got me. It was a learning experience for sure,2021-12-20 05:13:50+00:00
1,I've been trading up for rarities on @BabyApe_SC and now I've come full circle back to the space ape gang! It's bee… https://t.co/qfP9FNCVye,2021-12-18 19:11:51+00:00
2,@DaRealAmberRose dissapointed man. You promoted the wild ape gang nft and it rugg pulled and scammed me for £6.5k,2021-12-13 01:03:11+00:00
3,my first NFT Wild Ape Gang #2283🔥 https://t.co/GgjJydO0W3,2021-12-12 20:42:50+00:00
4,"scammed... f u wild ape gang
#nft #nfts https://t.co/GzAFMKsMFo",2021-12-12 12:15:50+00:00
5,"RT @jesusinvests: @garyvee @GenSapiensNFT @TiddlesN @FlowerGirlsNFT Need your help @wildapegangnft ,we the NFT holders, got rug pulled by t…",2021-12-11 15:37:07+00:00
6,"RT @jesusinvests: @garyvee Love to talk to you about @wildapegangnft ,we the NFT holders, got rug pulled by the creators today. We are stil…",2021-12-11 15:35:26+00:00
7,@shanterpster I recently got rug pull from NFT project Wild Ape Gang official.,2021-12-10 22:02:27+00:00
8,"RT @T_Wellington_: 🚨Rug pull alert.🚨

I'll need to do a weekly tweet just because I'm getting so many in.

Wild ape gang nft #WildApeGangNF…",2021-12-10 01:05:57+00:00
9,"🚨Rug pull alert.🚨

I'll need to do a weekly tweet just because I'm getting so many in.

Wild ape gang nft… https://t.co/LyvGzBKpZT",2021-12-09 19:57:58+00:00
10,"RT @jesusinvests: @garyvee Love to talk to you about @wildapegangnft ,we the NFT holders, got rug pulled by the creators today. We are stil…",2021-12-09 09:24:24+00:00
11,"RT @jesusinvests: @garyvee @GenSapiensNFT @TiddlesN @FlowerGirlsNFT Need your help @wildapegangnft ,we the NFT holders, got rug pulled by t…",2021-12-09 09:19:00+00:00
12,"RT @jesusinvests: @garyvee @GenSapiensNFT @TiddlesN @FlowerGirlsNFT Need your help @wildapegangnft ,we the NFT holders, got rug pulled by t…",2021-12-09 09:10:33+00:00
13,"@garyvee @GenSapiensNFT @TiddlesN @FlowerGirlsNFT Need your help @wildapegangnft ,we the NFT holders, got rug pulle… https://t.co/r2oJQtnALM",2021-12-09 09:06:44+00:00
14,"@garyvee Love to talk to you about @wildapegangnft ,we the NFT holders, got rug pulled by the creators today. We ar… https://t.co/oAKayzwuEF",2021-12-09 09:04:32+00:00
15,"Apes in Space, Chill Ape Club, Wild Ape Gang, just how many same projects should appear and fail, when the uniqunes… https://t.co/JgZmIbaieR",2021-12-07 11:16:44+00:00
16,@Coinbase_NFT THE WILD APE GANG! https://t.co/NQMFUedCrq,2021-12-06 20:49:48+00:00
17,It’s launch day today! The Wild Ape Gang will be available for the public to mint! 4 hours more till official launc… https://t.co/dpFyz8Qarp,2021-12-06 06:48:09+00:00
18,@garyvee This is my first NFT! I belong to a wild ape gang that’s finna turn up the Metaverse 🔥🦍 @wildapegangnft… https://t.co/gUWYxOvJuW,2021-12-05 17:23:55+00:00
19,You guys gonna want to get you some of these wild ape gang nft’s!!!,2021-12-04 16:18:23+00:00
20,"RT @NFT_Cole: 🚨 ULTRA RARE “ARMY UNIFORM” OUTFIT (0.62%) 🚨

⭐️ Only 14 of 2,240+ w./ Army Outfit

🔥 The Wild Ape Gang - #349

👀 FOR SALE! D…",2021-12-02 16:59:28+00:00
