,tweets,timestamps
0,@techbubble 💥💥I’m new artist as much as 10 days in NFT world and haven’t had any sale yet. ‘the story of women’s li… https://t.co/NhKUd9Jn0V,2021-12-18 20:56:52+00:00
1,RT @behzadsahifi: This is the eighth drop of my collection @opensea (lt is the world of women) #nftartists #nftcommunity #nftart #nft #nfts…,2021-12-18 20:52:57+00:00
2,"@NFT_French This is the eighth drop of my collection @opensea (lt is the world of women) 
https://t.co/BSqPBCkD7K https://t.co/bUsN1VTOkm",2021-12-18 20:50:01+00:00
3,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:44:00+00:00
4,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:33:54+00:00
5,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:32:51+00:00
6,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:31:59+00:00
7,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:29:17+00:00
8,"RT @AngelsOasisNFT: 5 DAYS UNTIL PRESALE🔥

Angels Oasis, a NFT Collection for EVERYONE! This is a great opportunity to introduce the NFT Wo…",2021-12-18 20:24:28+00:00
9,"RT @Phemex_official: How is the World of Women structured? Who is behind the World of Women?🤔 

Find out more 🔽 
https://t.co/GpXTYaCQB5

#…",2021-12-18 20:19:09+00:00
10,"RT @AngelsOasisNFT: 5 DAYS UNTIL PRESALE🔥

Angels Oasis, a NFT Collection for EVERYONE! This is a great opportunity to introduce the NFT Wo…",2021-12-18 20:07:10+00:00
