,tweets,timestamps
0,"RT @AG_NBA_: The level of details on @nuclearnerds  incredible...

Each one looks like a true 1/1 hand drawn NFT... Super Impressive!!

Lov…",2021-12-16 02:45:35+00:00
1,"The level of details on @nuclearnerds  incredible...

Each one looks like a true 1/1 hand drawn NFT... Super Impres… https://t.co/wLRzPEHXmD",2021-12-16 02:10:10+00:00
2,"RT @nftwhalealert: Hourly Top Mints
Ape Gang New: 399
DI Animals: 130
Apocalyptic Apes: 123
Rowdy Roo BOBL Crew: 106
InBetweeners - GianPie…",2021-12-16 01:41:39+00:00
3,"Hourly Top Mints
Ape Gang New: 399
DI Animals: 130
Apocalyptic Apes: 123
Rowdy Roo BOBL Crew: 106
InBetweeners - Gi… https://t.co/t5pvVJzQ0U",2021-12-16 01:30:02+00:00
4,"APE BANKING CLUB - NFT  A... | 67
Ben Baller Gems | 56
HUXLEY Comics | 46
MetaSharksNFT | 44
Keep Watch Crew | 44… https://t.co/zMMfuhCQQ4",2021-12-16 01:00:10+00:00
5,"RT @nftwhalealert: Hourly Top Mints
MintoniansOfficial: 429
The Awakening Comic: 230
Ben Baller Gems: 159
Galaktic Gang: 75
Pepsi Mic Drop:…",2021-12-15 10:06:08+00:00
6,"RT @nftwhalealert: Hourly Top Mints
MintoniansOfficial: 429
The Awakening Comic: 230
Ben Baller Gems: 159
Galaktic Gang: 75
Pepsi Mic Drop:…",2021-12-15 07:00:28+00:00
7,"Hourly Top Mints
MintoniansOfficial: 429
The Awakening Comic: 230
Ben Baller Gems: 159
Galaktic Gang: 75
Pepsi Mic… https://t.co/g4a6tv2kY0",2021-12-15 06:30:01+00:00
8,@TrevonDiggs Bored ape yacht club. Join the big league nfts baller!,2021-12-14 02:24:40+00:00
9,@baller_6391 @ApeKidsClub @BAYC2745 @psychedelic_nft It’ll be like a lottery. Whomever has a wallet with an Ape Kid… https://t.co/Mvk0vVCxi6,2021-12-10 00:15:47+00:00
10,@undervaluednfts I wonder if they have any ties to… Baller Ape Club… barf,2021-12-07 22:57:06+00:00
11,"@jonnykeyz Ape kids club @ApeKidsClub huge upside. Lots of folks getting it.
For example, Pelicans baller Josh Hart… https://t.co/vRgjzcgWaP",2021-12-07 07:34:43+00:00
12,"@baller_6391 @ApeKidsClub This kid from Genesis collection
Kids Club collection: (Parent collection)
https://t.co/oG5821bvpo",2021-12-07 01:51:53+00:00
13,"RT @bitcoin80000: sol上一个叫Baller Ape Club的NFT项目，今天凌晨刚跑路。
网址打不开，推特，discord也已关闭。

昨天看热度很高，进网站想看个究竟，只因为英语太差愣是没找到mint入口，就放弃了。太凶险了 ​​​。

更可怕的是如果m…",2021-12-04 23:45:40+00:00
14,@SimonZerafa Oh. Well in case you're curious. I believe the biggest exit scam for an NFT was the baller ape club wh… https://t.co/zrHfUF0n53,2021-11-30 21:50:54+00:00
15,RT @drmbrothers: BORED ApE CLoWn Club 🤡… you get no alpha owning one. The people who own them are hype beasts. Incredible marketing. Bayc i…,2021-11-30 01:47:24+00:00
16,RT @drmbrothers: BORED ApE CLoWn Club 🤡… you get no alpha owning one. The people who own them are hype beasts. Incredible marketing. Bayc i…,2021-11-30 01:46:31+00:00
17,RT @drmbrothers: BORED ApE CLoWn Club 🤡… you get no alpha owning one. The people who own them are hype beasts. Incredible marketing. Bayc i…,2021-11-29 20:53:20+00:00
18,"@JAY_NFTs baller ape club, emptied my wallet",2021-11-29 19:11:39+00:00
19,RT @drmbrothers: BORED ApE CLoWn Club 🤡… you get no alpha owning one. The people who own them are hype beasts. Incredible marketing. Bayc i…,2021-11-29 17:02:00+00:00
20,BORED ApE CLoWn Club 🤡… you get no alpha owning one. The people who own them are hype beasts. Incredible marketing.… https://t.co/Lo9y5OcaFN,2021-11-29 17:00:00+00:00
21,@digitalperverts i got all my solana taken in the baller ape club rug pull if i send you a screenshot coukd you bless me🙏,2021-11-23 18:30:29+00:00
22,"I'm fully getting behind these...
I believe these could be the next Bored Ape Yacht Club ...

Tap the Link Become a… https://t.co/mmjH5CEkqg",2021-11-23 11:46:17+00:00
23,RT @freak0809: shout out @Luxaiart - I got rugged over 6 weeks ago from Baller Ape Club and the Lux team sent me a dope piece yesterday. Th…,2021-11-21 17:03:01+00:00
24,shout out @Luxaiart - I got rugged over 6 weeks ago from Baller Ape Club and the Lux team sent me a dope piece yest… https://t.co/kNILo7ME4l,2021-11-21 13:48:06+00:00
25,@Gael_Monfils For a champion like you Gael! Bored Ape Yacht Club for sure! Straight to the top like the baller you are!,2021-11-21 02:46:03+00:00
26,@cryptjoe9 @itstylersays @punk2467 @LILUZIVERT @EvolvedApes_Inc @flurnft Baller ape club DISASTER,2021-11-19 19:24:07+00:00
27,@frumza @EnigmaECONOMY @phantom I almost did and managed to dip out and avoided that rug baller ape club. I had sol… https://t.co/IedKvUWvkr,2021-11-19 07:17:27+00:00
