,tweets,timestamps
0,"RT @9alif_art: 💖BUY 1💖---🔥 GET 1 🔥
😸Cool Cats Punks NFT 
✅ #01-50
🎅expired date : 25 December 

📌https://t.co/q32f3LjOIn

#NFTs #NFT #nftco…",2021-12-17 17:20:02+00:00
1,"💖BUY 1💖---🔥 GET 1 🔥
😸Cool Cats Punks NFT 
✅ #01-50
🎅expired date : 25 December 

📌https://t.co/q32f3LjOIn

#NFTs… https://t.co/qf5H2RSWOu",2021-12-17 17:19:48+00:00
2,"RT @9alif_art: 💖❌BUY 1 💖 GET 1 ❌💖

😸Cool Cats Punks NFT 

✅ #001-#050

🟣on the @opensea polygon
 📌@0xPolygon 0.003 $ETH
▶️Bought , DM 

htt…",2021-12-17 17:03:12+00:00
3,"RT @zaingaziani: A stranger recognized my cool cats hoodie at the coffee shop!!! 

This resulted in a 30 min convo about crypto, nfts, art,…",2021-12-17 16:57:36+00:00
4,"Daily floor price update

Cryptopunks: 60.95Ξ (📉 -1.38%)
Bored Ape YC: 50.0Ξ (📉 -1.36%)
VeeFriends: 8.99Ξ (📉 -4.14%… https://t.co/Tx3JiaSrMt",2021-12-17 16:55:21+00:00
5,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 16:35:03+00:00
6,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 16:31:10+00:00
7,RT @bahester: Everyone talks about public adoption of NFT's but I'm not sure how that happens when an increasing # of whitelists go to BAYC…,2021-12-17 16:28:54+00:00
8,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 16:14:34+00:00
9,"RT @9alif_art: 💖❌BUY 1 💖 GET 1 ❌💖

😸Cool Cats Punks NFT 

✅ #001-#050

🟣on the @opensea polygon
 📌@0xPolygon 0.003 $ETH
▶️Bought , DM 

htt…",2021-12-17 16:03:51+00:00
10,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 16:03:22+00:00
11,"RT @zaingaziani: A stranger recognized my cool cats hoodie at the coffee shop!!! 

This resulted in a 30 min convo about crypto, nfts, art,…",2021-12-17 15:57:40+00:00
12,RT @bahester: Everyone talks about public adoption of NFT's but I'm not sure how that happens when an increasing # of whitelists go to BAYC…,2021-12-17 15:54:42+00:00
13,Everyone talks about public adoption of NFT's but I'm not sure how that happens when an increasing # of whitelists… https://t.co/uCcxsdBegG,2021-12-17 15:52:50+00:00
14,"Top Selling ""Cool Cats"" NFTs of the last 30 days.
Check https://t.co/TcjYPSxUCZ for more informations.
Art by… https://t.co/rJasuuCfZB",2021-12-17 15:44:39+00:00
15,"RT @9alif_art: 💖❌BUY 1 💖 GET 1 ❌💖

😸Cool Cats Punks NFT 

✅ #001-#050

🟣on the @opensea polygon
 📌@0xPolygon 0.003 $ETH
▶️Bought , DM 

htt…",2021-12-17 15:29:44+00:00
16,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 15:28:25+00:00
17,"RT @zaingaziani: A stranger recognized my cool cats hoodie at the coffee shop!!! 

This resulted in a 30 min convo about crypto, nfts, art,…",2021-12-17 15:25:56+00:00
18,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 15:13:35+00:00
19,"RT @beaniemaxi: Beanie’s 2021 Top 10 NFT Collectibles List for the Highest Chance of Commercial Success

1) CryptoPunks
2) Bored Ape Yacht…",2021-12-17 15:11:38+00:00
20,"RT @9alif_art: 💖❌BUY 1 💖 GET 1 ❌💖

😸Cool Cats Punks NFT 

✅ #001-#050

🟣on the @opensea polygon
 📌@0xPolygon 0.003 $ETH
▶️Bought , DM 

htt…",2021-12-17 15:11:31+00:00
21,"RT @9alif_art: 💖❌BUY 1 💖 GET 1 ❌💖

😸Cool Cats Punks NFT 

✅ #001-#050

🟣on the @opensea polygon
 📌@0xPolygon 0.003 $ETH
▶️Bought , DM 

htt…",2021-12-17 15:11:21+00:00
