,tweets,timestamps
0,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:29:49+00:00
1,@jjrose_nft @BoredApeYC @doodles @RTFKTstudios Black fur gang 💪,2021-12-17 17:29:43+00:00
2,RT @long: @SKaddage @FAHQ @BoredApeYC @GutterCatGang @MarsCatsVoyage @bubblegumkids_ @RumbleKongs @RealSupDucks @doodles @LazyLionsNFT @The…,2021-12-17 17:29:22+00:00
3,"RT @ReignAlekhine: #Giveaway Alert 🚨🚨🚨
◇ Giving away 1x #NFT
(Valued at 2 #ETH ~ 💸)

●❤ Like + RT
●Follow @ReignAlekhine @doodles
●Turn on…",2021-12-17 17:28:38+00:00
4,@welcomehome_nft @doodles https://t.co/qkN0Kso6JS,2021-12-17 17:28:06+00:00
5,"RT @SuperlativeApes: We are super excited to announce our BIGGEST giveaway!!! 👀

We currently have less than 1300 mints remaining until we…",2021-12-17 17:28:06+00:00
6,RT @GuyIncognitoILV: Thanks @don___yoo for turning my @doodles alien into this dope card.  I can imagine this format being used for physica…,2021-12-17 17:27:50+00:00
7,@PlatyPunks_Real @flurnft Nice catch. If you weren’t a platy owner that probably would have gotten away from you. A… https://t.co/xBIMmX9vxb,2021-12-17 17:27:24+00:00
8,"RT @NFT_Promoter_Br: ♦️ #NFTGiveaway ♦️
Give away 1 DOODLES #NFTs ~ 1 DAY
 (Worth 2.0 ETH / $8400 💸)

To enter: 
✅Follow me
✅RT &amp; ❤️
WINNER…",2021-12-17 17:27:07+00:00
9,@anabelle_nft @doodles https://t.co/qMgio1OTyP,2021-12-17 17:26:08+00:00
10,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:25:55+00:00
11,@SKaddage @FAHQ @BoredApeYC @GutterCatGang @MarsCatsVoyage @bubblegumkids_ @RumbleKongs @RealSupDucks @doodles… https://t.co/puuxdsJSNy,2021-12-17 17:25:44+00:00
12,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:25:25+00:00
13,"RT @SuperlativeApes: We are super excited to announce our BIGGEST giveaway!!! 👀

We currently have less than 1300 mints remaining until we…",2021-12-17 17:25:23+00:00
14,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:25:08+00:00
15,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:24:56+00:00
16,"Wow, can it get any lower? Doodle #2713 has just dropped (@doodles)
Good deal at 1e-15: -100.0% below floor price o… https://t.co/GL1MvJ3X6g",2021-12-17 17:24:48+00:00
17,@kodaksh_nft @doodles My dood,2021-12-17 17:23:52+00:00
18,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:23:37+00:00
19,"RT @hugo_eth: I have more NFTs than followers, so I will send this #DOODLES NFT to one random person, 3 ETH ($12500 at the time of writing)…",2021-12-17 17:23:30+00:00
20,"@ChrisShirer3 the mighty has honored me with one of his #NFT #artworks in my @opensea #WALLET 
Thanks a lot! 🙏… https://t.co/x5L3lqVADh",2021-12-17 17:23:29+00:00
21,@welcomehome_nft @doodles @Starbucks @bagholder4hire I will do my best ser 😅😂 https://t.co/jAxCuQ3MRF,2021-12-17 17:22:54+00:00
22,"RT @SuperlativeApes: We are super excited to announce our BIGGEST giveaway!!! 👀

We currently have less than 1300 mints remaining until we…",2021-12-17 17:22:39+00:00
23,"Check out Doodle #5377 from @doodles collection
Good deal at 1e-05: -100.0% below floor price of 4.25
Check it out… https://t.co/6ATE1pfH91",2021-12-17 17:20:50+00:00
24,@KiLLERNiK0 @Coinbase_NFT @jeffstaple @pplpleasr1 @doodles Everything will be. Open marketplace like opensea,2021-12-17 17:20:49+00:00
