,tweets,timestamps
0,RT @Flex18452887: Hey #nft #whales! If you are doing tax optimisation you can make my day and list in my wallet!  0xAB969400836Db1Da513Eb6b…,2021-12-17 16:30:30+00:00
1,Hey #nft #whales! If you are doing tax optimisation you can make my day and list in my wallet!  0xAB969400836Db1Da5… https://t.co/l972G09zAi,2021-12-17 16:30:20+00:00
2,RT @metavoyageurs: Voyageur #025 Robot not Robot /#art #artwork #nftcommunity #drawing  #future #digitalart #design #illustration #contempo…,2021-12-17 16:22:30+00:00
3,Voyageur #025 Robot not Robot /#art #artwork #nftcommunity #drawing  #future #digitalart #design #illustration… https://t.co/K4rCrAPTUa,2021-12-17 16:22:00+00:00
4,RT @DamnRandyX: @RicFlairNatrBoy HI RIC I’M PART OF AN NFT COMMUNITY CALLED THE ROBOTOS AND WE LOVE YERRR!  WE CELEBRATE RIC FLAIR FRIDAYS…,2021-12-17 15:35:45+00:00
5,RT @DamnRandyX: @RicFlairNatrBoy HI RIC I’M PART OF AN NFT COMMUNITY CALLED THE ROBOTOS AND WE LOVE YERRR!  WE CELEBRATE RIC FLAIR FRIDAYS…,2021-12-17 14:57:06+00:00
6,@RicFlairNatrBoy HI RIC I’M PART OF AN NFT COMMUNITY CALLED THE ROBOTOS AND WE LOVE YERRR!  WE CELEBRATE RIC FLAIR… https://t.co/zGwNjm6Yi6,2021-12-17 14:42:13+00:00
7,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 50.0 Ξ
Cool Cats: 6.59 Ξ
Robotos: 0.42 Ξ
Doo… https://t.co/OlbgOYiDCu",2021-12-17 12:03:03+00:00
8,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 50.0 Ξ
Cool Cats: 6.75 Ξ
Robotos: 0.45 Ξ
Doo… https://t.co/gs77moCFVu",2021-12-17 06:03:10+00:00
9,"Collections Floor Prices (hourly update) 🧵 1/5:

Bored Ape Yacht Club: 50.0 Ξ
Cool Cats: 6.75 Ξ
Robotos: 0.46 Ξ
Doo… https://t.co/I1GBR7o1rg",2021-12-17 00:03:03+00:00
10,"RT @spr3adsh33t: Robotos - Trading Price Analysis
Recent Avg Trading Price: 0.406 ETH
Recent Volume: 11
Total Supply: 9999
Buy Floor Now: h…",2021-12-16 22:03:39+00:00
11,"Robotos - Trading Price Analysis
Recent Avg Trading Price: 0.406 ETH
Recent Volume: 11
Total Supply: 9999
Buy Floor… https://t.co/mvECLJMc8Q",2021-12-16 22:03:11+00:00
12,"🐳 Top Whale SELLS🔻 (Last hour):

Nuclear Nerds of the Accidental Apocalypse: 2 (avg: 0.08 Ξ)
PUNKS Comic: 2 (avg: 0… https://t.co/tO2nhhtll6",2021-12-16 22:02:33+00:00
13,"Robotos (OpenSea)
Floor Price Discrepancy: .35 ETH
Trait: Top (Halo)
Snipe: CEc101 #6944 (Rarity 4197/10K, .6 ETH)… https://t.co/D1F8KvzjE2",2021-12-16 18:52:59+00:00
14,"RT @jaypeezworld: White Christmas by the @robotosNFT mulletos. Happy Holidays everyone. #NFTCommunity #NFT #robotos #nftart 

https://t.co/…",2021-12-16 18:21:30+00:00
